gene,rna_pearson_r,rna_spearman_r,rna_n_obs,protein_pearson_r,protein_spearman_r,protein_n_obs,group
GALE,0.28789831580143116,0.28992914982743745,979,0.08851922461155046,0.07753947411867661,545,non-significant
GALK1,0.21410855213767638,0.1388610009493588,979,0.06626366328698223,-0.02281295484985921,710,non-significant
GALK2,0.35612698424918565,0.3607642982150639,979,0.10509764513129738,0.11975860357766262,515,non-significant
GALNT1,0.2561216288538395,0.274575264324444,979,,,0,non-significant
GALNT10,0.25129966374269647,0.2419133115742766,979,,,0,non-significant
GALNT11,0.3073516330116388,0.3825616846535509,979,,,0,non-significant
GALNT12,0.1335619225975247,0.10904630161307406,979,,,0,non-significant
GALNT2,0.12770685658307132,0.1417049997761964,979,,,0,non-significant
GALNT5,0.008399107460376627,0.08169053036370462,979,,,0,non-significant
GALNT6,0.10414510965755888,0.07299871808890183,979,,,0,non-significant
GALNT7,0.2036968191771693,0.22113067320187452,979,,,0,non-significant
GANAB,0.31545605297258567,0.3374212140221061,979,0.41646401859208093,0.4289001805462538,775,non-significant
GATA2,0.0558435754096681,0.09556718341009517,979,,,24,non-significant
GATAD2A,0.12191663387809368,0.08170230011673435,979,,,0,non-significant
GATAD2B,0.2590438236658063,0.17438624363289498,979,,,0,non-significant
GBF1,0.20940157252530814,0.19186454941324477,979,0.1310380468607959,0.14624344503537826,749,non-significant
GBGT1,-0.09349071165561773,-0.10236041224624072,979,,,0,non-significant
GCAT,0.23841886250304056,0.20774808031412556,979,,,0,non-significant
GCDH,0.18979142760052048,0.14160343670413567,979,0.32172245496639085,0.25844413769807706,772,non-significant
GCFC2,0.1211502049112419,0.09461684116259324,979,0.07765349480337759,0.08741363953603283,359,non-significant
GDF11,-0.0055573938812573925,-0.05038916041171636,979,,,0,non-significant
GDI2,0.41414363029657464,0.37899018178316735,979,,,0,non-significant
GDPD1,0.15495098867382617,0.18431477861049403,979,0.14124679863594386,0.21804861319194022,167,non-significant
GFI1B,-0.13122514037433167,-0.000953160308971344,979,,,0,non-significant
GFM1,0.31746497524989575,0.3149118360652362,979,,,0,non-significant
GFM2,0.3293711531606216,0.30149175680701007,979,,,0,non-significant
GFOD2,0.23336353018125366,0.19320511843711927,979,,,0,non-significant
GGA1,0.20786416120856754,0.16756188935921457,979,0.12403421743179274,0.12710417058079446,536,non-significant
GGA2,0.09899513958126718,0.09116949172760078,979,-0.09834451366510394,-0.12160647666318848,573,non-significant
GGA3,0.2059996835643247,0.1701388466328075,979,0.127316532417227,0.045484276875771834,525,non-significant
GHITM,0.332053616344891,0.30723977009634246,979,0.24999629012933844,0.2449835526145519,615,non-significant
GIGYF1,0.20569116621945777,0.19176035398135766,979,,,0,non-significant
GIGYF2,0.23181271214404678,0.20319627881588523,979,,,0,non-significant
GIPC1,0.15204735538400452,0.14716189311556324,979,0.16612960108666544,0.17099084649641058,747,non-significant
GIPC3,0.008230548408229735,-0.0140540683861795,979,,,0,non-significant
GIT1,0.2518714814412302,0.1894831798523436,979,0.06423139990304341,0.045094676592822625,684,non-significant
GIT2,-0.0373896353968016,-0.05371675459515709,979,-0.11145093755804422,-0.17558968646354106,470,non-significant
GK5,0.30546709061102373,0.2712437410899277,979,,,0,non-significant
GLB1,0.3792179449181157,0.36459950340291936,979,,,0,non-significant
GLCCI1,-0.008217621027553208,0.02147964426698773,979,,,0,non-significant
GLRX3,0.40934193355372245,0.3938530608463356,979,0.1278907172832906,0.1289812998107135,774,non-significant
GLRX5,0.32551144191970377,0.31980241559224915,979,0.3862021392405659,0.3923169474985043,775,non-significant
GLTP,0.2565339346314595,0.25459788345258527,979,0.17543801625021493,0.17963300448045394,353,non-significant
GLUD1,0.2542921063054707,0.22843514859351546,979,,,0,non-significant
GLYR1,0.2292648771774673,0.1759673359367399,979,0.16766889501293858,0.16369780341540907,770,non-significant
GMEB1,0.1528601122340636,0.1363271542707787,979,0.017621368868860714,0.00015777633082864845,501,non-significant
GMEB2,0.25360546758467584,0.26274308122154505,979,0.022356165634617647,0.03959385991085916,724,non-significant
GMFB,0.31451929638456655,0.2942502126645776,979,0.027176871834382034,0.042537099904099956,747,non-significant
GMFG,-0.06314190159460793,-0.0640341625605175,979,-0.05027769726642421,-0.06353206441341264,197,non-significant
GMPPA,0.28307355582547666,0.26742479684073084,979,0.008971111250604067,0.037301186242405464,609,non-significant
GMPR,0.12924979277873647,0.1270646167637759,979,,,0,non-significant
GMPR2,0.4020229273127014,0.3498566442999025,979,0.08511679278732151,0.05112477313774286,620,non-significant
GNA11,0.1600413597729944,0.20589751277414456,979,0.26201270366815477,0.27997271564493675,700,non-significant
GNA12,0.3275908022244587,0.31863772631054604,979,,,0,non-significant
GNA13,0.171189140664128,0.14051842337250028,979,0.3321008499078168,0.33218674244610913,757,non-significant
GNAI2,0.2167046996716906,0.20540562952012345,979,0.2507293871512226,0.2566286039743072,771,non-significant
GNAI3,0.5024185558486455,0.44878206261464537,979,0.38458600518188146,0.3880785712430955,773,non-significant
GNAQ,0.2100896553431435,0.18468672188098145,979,0.29654915825280737,0.271196702670518,670,non-significant
GNAS,0.31979867478369195,0.3050759520429626,979,,,0,non-significant
GNB1,0.3117111978748841,0.25235194769831615,979,,,0,non-significant
GNB2,0.45815378919888516,0.4310622440943398,979,,,0,non-significant
GNB4,0.010875920204365395,-0.03349483039669819,979,,,0,non-significant
GNG10,0.37046274694348913,0.37473232420743496,979,,,0,non-significant
GNG12,0.30915900794344187,0.30386761978803256,979,,,0,non-significant
GNG5,0.4152933591456912,0.3597865563047266,979,,,0,non-significant
