rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
290,Modification-Dependent Protein Catabolic Process (GO:0019941),0.36485601455768185,2.2492601866605964,2.267822170118797,MDM2,0.4126647337066195,0,0,GO_Biological_Process_2023
291,Regulation Of Cell Differentiation (GO:0045595),0.3663630680748588,2.237432065217391,2.2466736620194747,BICRAL,0.4129453138438271,0,0,GO_Biological_Process_2023
292,DNA-templated Transcription (GO:0006351),0.37533216680478654,2.16897233201581,2.1254711343118626,GMEB2,0.42016706727634806,0,0,GO_Biological_Process_2023
293,Anterograde Trans-Synaptic Signaling (GO:0098916),0.37533216680478654,2.16897233201581,2.1254711343118626,CHRNB3,0.42016706727634806,0,0,GO_Biological_Process_2023
294,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),0.3779964639849983,1.5533933933933934,1.5112505109289291,"BICRAL, TBL1X",0.421710340772379,0,0,GO_Biological_Process_2023
295,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.37977263204307665,1.3868254739912493,1.3427002128097716,"BCLAF1, SATB2, TBL1X",0.4222556722377259,0,0,GO_Biological_Process_2023
296,Regulation Of MAPK Cascade (GO:0043408),0.38271139744846433,2.115013921610623,2.03141610408811,IAPP,0.424085602578028,0,0,GO_Biological_Process_2023
297,Regulation Of Angiogenesis (GO:0045765),0.38417697190937317,2.104539641943734,2.0133119906465775,PIK3R6,0.4242762518056377,0,0,GO_Biological_Process_2023
298,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),0.38709791144614913,2.083896158716758,1.9777791999713032,TBL1X,0.42464252493089266,0,0,GO_Biological_Process_2023
299,Negative Regulation Of Cell Differentiation (GO:0045596),0.38709791144614913,2.083896158716758,1.9777791999713032,BICRAL,0.42464252493089266,0,0,GO_Biological_Process_2023
300,Protein Stabilization (GO:0050821),0.3885532919453152,2.0737240075614367,1.9603430333464502,TBL1X,0.42481826586021126,0,0,GO_Biological_Process_2023
301,"mRNA Splicing, Via Spliceosome (GO:0000398)",0.39289916885080883,2.0437888198757763,1.9093121505174084,SNRPA,0.4281426158905824,0,0,GO_Biological_Process_2023
302,mRNA Processing (GO:0006397),0.3972148098966915,2.0146968769136557,1.860125427559415,SNRPA,0.4314121114109762,0,0,GO_Biological_Process_2023
303,Positive Regulation Of Cellular Process (GO:0048522),0.4089582060029315,1.4535285285285284,1.2996613619236352,"BICRAL, MDM2",0.4427006322407971,0,0,GO_Biological_Process_2023
304,Regulation Of Cell Growth (GO:0001558),0.4155715215881707,1.8975567525971528,1.6662456199783586,SLIT2,0.44837979960828944,0,0,GO_Biological_Process_2023
305,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),0.4224851326767236,1.8560135516657257,1.5991431724689824,RFPL4AL1,0.45433168443350663,0,0,GO_Biological_Process_2023
306,Positive Regulation Of Developmental Process (GO:0051094),0.42385821779467386,1.8479197901049476,1.5861735413710851,BICRAL,0.45433168443350663,0,0,GO_Biological_Process_2023
307,Inflammatory Response (GO:0006954),0.42795833021085067,1.8240518038852913,1.548126479650908,SELE,0.4572323527985636,0,0,GO_Biological_Process_2023
308,Regulation Of Inflammatory Response (GO:0050727),0.43338075068086285,1.793159905402947,1.4993302228119105,SELE,0.46145935315283093,0,0,GO_Biological_Process_2023
309,Regulation Of Autophagy (GO:0010506),0.43472847598849007,1.7855978260869565,1.4874630493435588,RFPL4AL1,0.46145935315283093,0,0,GO_Biological_Process_2023
310,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),0.44142018148728657,1.7487133984028393,1.4300244843329941,RFPL4AL1,0.4670510307349355,0,0,GO_Biological_Process_2023
311,Regulation Of Protein Phosphorylation (GO:0001932),0.4661488462042629,1.621294466403162,1.2374534609607777,SLIT2,0.49162965130224506,0,0,GO_Biological_Process_2023
312,Chemical Synaptic Transmission (GO:0007268),0.4762373900659932,1.572969948849105,1.1668901871769655,CHRNB3,0.5006598203257877,0,0,GO_Biological_Process_2023
