kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
KBTBD11,MSigDB_Hallmark_2020,prerank,Estrogen Response Early,-0.3237391111125003,-0.9613506518882157,0.5778546712802768,1.0,1.0,68/198,24.24%,AREG;SLC27A2;KRT15;PGR;FCMR;KLK10;ABAT;ARL3;TIPARP;FRK;NADSYN1;SCNN1A;FARP1;MED24;ADCY9;MYB;SYNGR1;DLC1;MLPH;SYT12;CANT1;MUC1;KLF10;SLC37A1;MAPT;FOS;SLC24A3;SLC1A4;PTGES;KAZN;RETREG1;DHRS3;OVOL2;RAPGEFL1;LAD1;OLFM1;STC2;SLC26A2;MREG;RAB31;SFN;TSKU;SOX3;IL17RB;CXCL12;IGFBP4;BCL11B;DYNLT3;CLDN7;SH3BP5;MINDY1;RARA;ABCA3;HES1;BAG1;ELF3;SCARB1;SEC14L2;ALDH3B1;RAB17;ISG20L2;ESRP2;SLC22A5;FDFT1;CISH;TGM2;SLC7A2;MICB
KBTBD11,MSigDB_Hallmark_2020,prerank,Fatty Acid Metabolism,0.312991866491466,0.9404251603082078,0.6317135549872123,1.0,1.0,31/157,12.76%,FABP1;HMGCS2;AQP7;GAD2;REEP6;RDH16;ACOT2;HPGD;ACADS;ACSL5;NSDHL;IL4I1;PRDX6;CA4;ECI2;CEL;FASN;MLYCD;GPD2;LDHA;SUCLG2;ELOVL5;ECH1;ACSL4;CPT2;IDI1;MDH1;UROS;HSD17B11;DECR1;ADSL
KBTBD11,MSigDB_Hallmark_2020,prerank,Inflammatory Response,0.3024509574061049,0.9399598553697956,0.635,1.0,1.0,61/200,23.43%,CD69;CYBB;LAMP3;TLR2;IL15RA;IL6;TNFSF15;CXCR6;LIF;IRF7;MMP14;CSF1;F3;IRF1;TACR1;MXD1;BTG2;TNFRSF1B;NAMPT;IL18;SCN1B;LPAR1;RASGRP1;MYC;NFKB1;PLAUR;CD40;EIF2AK2;GABBR1;SRI;KCNA3;RAF1;HAS2;NPFFR2;PTAFR;SCARF1;GP1BA;NMUR1;ITGB8;PCDH7;PTPRE;IL18R1;CX3CL1;PTGER2;SEMA4D;SLC31A1;PTGER4;CD48;ATP2A2;LCP2;HIF1A;CXCL6;SERPINE1;RIPK2;CMKLR1;TPBG;SLC1A2;SGMS2;GNAI3;ABCA1;TACR3
KBTBD11,MSigDB_Hallmark_2020,prerank,Interferon Alpha Response,0.3337590679022765,0.9379658791318088,0.5739910313901345,1.0,1.0,22/97,16.14%,LAMP3;OASL;PARP9;IRF7;USP18;CSF1;IRF2;IRF1;TENT5A;TRIM25;LGALS3BP;PSMA3;IL7;B2M;SP110;TRIM21;EIF2AK2;TXNIP;HELZ2;RNF31;STAT2;PSMB8
KBTBD11,MSigDB_Hallmark_2020,prerank,Hypoxia,0.2998484604362389,0.9302568169222942,0.6620370370370371,1.0,1.0,55/200,17.63%,IL6;FBP1;PLAC8;DDIT3;MAP3K1;P4HA2;LDHC;HK2;F3;DUSP1;PPP1R3C;MAFF;DPYSL4;HS3ST1;BGN;TNFAIP3;PGAM2;TGFB3;LDHA;ALDOC;VLDLR;HDLBP;PGM1;SELENBP1;CASP6;ERRFI1;CAVIN3;PLAUR;GBE1;ANKZF1;PAM;XPNPEP1;STC1;GPI;AKAP12;EXT1;PRKCA;TMEM45A;VEGFA;MYH9;CA12;ERO1A;SLC2A5;SDC3;NAGK;EGFR;CAV1;PGK1;RRAGD;GRHPR;JUN;ZNF292;PDGFB;EFNA1;CP
KBTBD11,MSigDB_Hallmark_2020,prerank,Apical Surface,-0.376267195452086,-0.9229934008453788,0.5936920222634509,1.0,1.0,17/44,20.32%,GAS1;SCUBE1;GATA3;SRPX;CROCC;LYN;IL2RB;ATP6V0A4;LYPD3;SHROOM2;ATP8B1;NCOA6;SULF2;CRYBG1;TMEM8B;AKAP7;PCSK9
KBTBD11,MSigDB_Hallmark_2020,prerank,TNF-alpha Signaling via NF-kB,0.2985888113457063,0.9207904310006015,0.6977272727272728,1.0,1.0,68/199,21.78%,CD69;TLR2;IL15RA;IL6;TNFAIP2;LIF;RHOB;CSF1;KDM6B;CLCF1;F3;DUSP1;SGK1;MAFF;IRF1;TNFAIP3;PTX3;TRAF1;TSC22D1;MXD1;BTG2;NAMPT;IL18;SNN;TNIP1;MYC;SMAD3;NFKB1;PLAUR;EHD1;SAT1;PMEPA1;PANX1;DUSP5;DNAJB4;SPSB1;PDLIM5;PHLDA1;VEGFA;REL;TUBB2A;FUT4;CD44;KLF4;ZBTB10;TNFAIP8;IL23A;MAP3K8;JUN;PLPP3;EFNA1;GADD45A;PTPRE;BTG3;B4GALT1;SOCS3;SLC2A6;IL6ST;PTGER4;TRIB1;CCNL1;PER1;CXCL6;SERPINE1;LITAF;SLC16A6;RIPK2;MARCKS
KBTBD11,MSigDB_Hallmark_2020,prerank,IL-6/JAK/STAT3 Signaling,0.3304691563301684,0.9167862686865803,0.6351039260969977,1.0,1.0,21/87,16.78%,IL1R2;TLR2;IL15RA;IL6;PTPN1;CSF1;PF4;IRF1;TYK2;TNFRSF1B;CRLF2;TNFRSF1A;IFNGR1;IL13RA1;IL7;PTPN11;IL10RB;CD44;STAT2;MAP3K8;JUN
KBTBD11,MSigDB_Hallmark_2020,prerank,Coagulation,0.30952646897108804,0.916340062514439,0.6855791962174941,1.0,1.0,20/138,8.97%,HMGCS2;MMP10;CFI;CPQ;BMP1;TF;CTSV;MMP14;PROZ;PF4;F3;MMP3;APOA1;PROS1;MAFF;HTRA1;SH2B2;F8;F11;CAPN5
KBTBD11,MSigDB_Hallmark_2020,prerank,Hedgehog Signaling,0.37437408077142703,0.9080290086792527,0.5920502092050209,1.0,1.0,14/36,21.57%,NKX6-1;UNC5C;SLIT1;VLDLR;AMOT;VEGFA;MYH9;RTN1;ADGRG1;TLE3;PML;LDB1;CDK6;HEY1
