kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ERICH1,MSigDB_Hallmark_2020,prerank,Fatty Acid Metabolism,0.33289683127406466,0.9859466647302865,0.49471458773784355,1.0,1.0,60/157,22.36%,IL4I1;TP53INP2;ACSL5;GAD2;UROS;CA4;PDHA1;HSD17B4;MAOA;DLD;ACOT2;ACADS;REEP6;HSD17B11;FMO1;GPD2;RDH16;LTC4S;ECI2;ADSL;DHCR24;DECR1;PSME1;ACADL;MDH1;ACSL1;GAPDHS;PRDX6;FASN;SERINC1;GLUL;IDI1;HPGD;HADH;SDHD;ACOX1;CA2;CD36;AUH;LGALS1;PDHB;SUCLG2;LDHA;HCCS;HADHB;ACAA1;UBE2L6;BMPR1B;SUCLG1;ACADM;METAP1;IDH3B;ACAT2;S100A10;DLST;BLVRA;RETSAT;CYP4A22;NBN;CRAT
ERICH1,MSigDB_Hallmark_2020,prerank,Unfolded Protein Response,-0.3451958142431454,-0.9801837631809563,0.4665391969407266,1.0,1.0,47/112,22.93%,SRPRA;PARN;ALDH18A1;ATF3;KHSRP;IMP3;YWHAZ;STC2;RRP9;HSPA5;CEBPB;YIF1A;PAIP1;HSP90B1;PDIA5;EIF2S1;TUBB2A;FKBP14;EIF4EBP1;EDEM1;NPM1;PREB;CHAC1;EXOSC10;EXOSC1;DCP1A;SPCS3;XBP1;BAG3;SSR1;EIF4A2;LSM1;CNOT6;ZBTB17;SDAD1;EDC4;EXOSC9;TARS1;CNOT2;DKC1;GEMIN4;DNAJB9;SLC1A4;CCL2;EXOSC2;KDELR3;VEGFA
ERICH1,MSigDB_Hallmark_2020,prerank,Interferon Gamma Response,0.32164429521590265,0.9770958696403966,0.52,1.0,1.0,67/199,21.19%,RTP4;CD69;OASL;FGL2;TNFAIP3;IRF7;IL6;TNFSF10;IRF5;TNFAIP2;CD38;CCL5;RSAD2;NOD1;IRF9;HELZ2;NFKB1;RIPK1;CIITA;LGALS3BP;CMPK2;USP18;IL15RA;LYSMD2;IFI27;PSMB8;FAS;TAP1;PSME1;PARP12;PDE4B;PTPN1;NUP93;IFITM2;MX1;EPSTI1;IFIT1;RNF213;IL15;TAPBP;METTL7B;BANK1;SLC25A28;PLA2G4A;IRF2;ADAR;MTHFD2;STAT4;DDX60;OGFR;TRIM26;ARID5B;BPGM;VAMP8;HERC6;HLA-B;TOR1B;UBE2L6;TRIM25;IL7;TRIM14;UPP1;BST2;PIM1;TXNIP;LATS2;NCOA3
ERICH1,MSigDB_Hallmark_2020,prerank,E2F Targets,-0.324387932517843,-0.9759006081311816,0.5105973025048169,1.0,1.0,95/200,25.85%,PA2G4;CDKN2A;HUS1;RAD50;TRA2B;CHEK2;CDKN3;CHEK1;XRCC6;RNASEH2A;UBE2T;SMC1A;TRIP13;ILF3;NAA38;DEPDC1;TK1;WDR90;ING3;NAP1L1;ANP32E;PPP1R8;EIF2S1;NASP;TIPIN;BARD1;CTPS1;MYC;HMGB2;BUB1B;MCM6;DNMT1;MAD2L1;MCM5;UNG;HMMR;PSIP1;PAN2;ATAD2;PHF5A;MSH2;RPA2;CDK4;SMC3;HMGA1;DCK;RRM2;POLD1;DCTPP1;XPO1;GINS1;E2F8;AURKA;PRPS1;DDX39A;DUT;MLH1;SNRPB;GINS3;RFC3;SHMT1;TBRG4;AK2;TUBG1;RAD51AP1;SLBP;MCM7;NUP205;STMN1;RPA1;H2AZ1;NUDT21;CCNE1;RAN;USP1;GINS4;MCM4;CDKN1B;PLK4;DEK;PAICS;POLA2;RBBP7;PPM1D;TMPO;DONSON;SPC25;HNRNPD;NME1;NUP107;CDCA3;CDKN1A;CKS2;LMNB1;PCNA
ERICH1,MSigDB_Hallmark_2020,prerank,IL-6/JAK/STAT3 Signaling,0.3346736662573724,0.925476029402644,0.6070640176600441,1.0,1.0,22/87,14.88%,DNTT;PF4;IL6;CD38;IRF9;CSF1;CXCL3;IL18R1;TLR2;IFNGR1;IL15RA;EBI3;FAS;PTPN1;JUN;TYK2;MAP3K8;GRB2;IL13RA1;CD36;CRLF2;CD9
ERICH1,MSigDB_Hallmark_2020,prerank,Spermatogenesis,-0.32203311947155316,-0.924488014588356,0.6408450704225352,1.0,1.0,32/135,18.30%,PRM2;ELOVL3;ALOX15;NOS1;CLVS1;STAM2;CDKN3;PAPOLB;SEPTIN4;CSNK2A2;PCSK1N;SPATA6;GAD1;TALDO1;SLC12A2;NF2;CLPB;DDX25;SIRT1;CFTR;JAM3;BUB1;DMC1;NEFH;NCAPH;MTOR;MAST2;RFC4;PRKAR2A;MEP1B;AURKA;DBF4
ERICH1,MSigDB_Hallmark_2020,prerank,UV Response Up,-0.31678779042032396,-0.9218569624047296,0.6719022687609075,1.0,1.0,57/158,22.56%,BMP2;RAB27A;CDKN2B;GPX3;CXCL2;RRAD;NPTXR;AQP3;STARD3;SLC6A12;MSX1;FOSB;ATF3;APOM;CDO1;ABCB1;EPCAM;POLR2H;BAK1;CYB5R1;UROD;DDX21;NPTX2;TACR3;PRKCD;EPHX1;WIZ;OLFM1;MARK2;ALDOA;FKBP4;PPP1R2;HMOX1;JUNB;RFC4;CASP3;YKT6;SOD2;MAPK8IP2;FGF18;KLHDC3;ARRB2;CYB5B;POLG2;TYRO3;AMD1;GRINA;TARS1;PRPF3;NUP58;HSPA13;PSMC3;FEN1;CCNE1;E2F5;CDKN1C;BTG1
ERICH1,MSigDB_Hallmark_2020,prerank,p53 Pathway,-0.2944129534858718,-0.882091621309936,0.8287937743190662,1.0,1.0,71/199,23.01%,BMP2;CDKN2B;ITGB4;RRAD;FUCA1;CDKN2A;SFN;NOTCH1;TRIB3;ANKRA2;NOL8;IER3;OSGIN1;CTSF;ATF3;TNNI1;APP;VWA5A;MAPKAPK3;ABAT;CEBPA;BAK1;RGS16;DDIT3;SLC7A11;IFI30;DGKA;EPHX1;FAM162A;ADA;GM2A;STEAP3;KIF13B;TRAF4;DNTTIP2;AK1;SESN1;HMOX1;CCNK;KLF4;PIDD1;SPHK1;HINT1;ACVR1B;PMM1;ZBTB16;PPP1R15A;ISCU;TRAFD1;PITPNC1;XPC;EI24;MXD4;PHLDA3;DCXR;CDK5R1;SLC3A2;CYFIP2;ST14;IER5;RACK1;SLC19A2;PLK3;RB1;RAB40C;PERP;RAP2B;BTG1;DRAM1;LDHB;GPX2
ERICH1,MSigDB_Hallmark_2020,prerank,Oxidative Phosphorylation,0.2894577942695414,0.8737174945478339,0.8432671081677704,1.0,1.0,78/200,22.35%,ETFA;ATP6V0C;MAOB;TCIRG1;PDHA1;DLD;NDUFC2;OPA1;MRPS11;CS;COX4I1;NDUFAB1;DECR1;IMMT;NDUFA3;PDP1;MDH1;PDHX;ATP5PO;BCKDHA;IDH2;PHYH;CYC1;ATP5PB;NDUFB5;COX7B;UQCRC1;VDAC3;SDHD;CYB5A;NDUFS6;PRDX3;ALAS1;NDUFA1;NDUFA6;TIMM9;TIMM13;PDHB;NDUFB1;CYB5R3;ISCA1;NDUFB2;ATP6V1H;NDUFA2;LDHA;MRPS22;HCCS;UQCR11;SLC25A6;UQCR10;HADHB;ACAA1;GPI;ATP5MG;COX6B1;MTX2;NDUFC1;SUCLG1;ATP6V1C1;ACADM;ATP5ME;AIFM1;GRPEL1;COX15;MFN2;ATP6V1F;ATP6V1E1;NDUFB4;ATP5PD;IDH3B;NDUFS1;DLST;ATP6V0B;RHOT1;RETSAT;ATP5F1D;ATP5F1C;ATP5MC1
ERICH1,MSigDB_Hallmark_2020,prerank,Angiogenesis,-0.3733204141780186,-0.873080940078811,0.6626984126984127,1.0,1.0,11/36,15.62%,TIMP1;PTK2;MSX1;APOH;APP;JAG1;ITGAV;LRPAP1;CXCL6;SLCO2A1;TNFRSF21
ERICH1,MSigDB_Hallmark_2020,prerank,Hypoxia,0.284604407569622,0.8708937402079656,0.8694736842105263,1.0,1.0,61/200,19.97%,PCK1;BHLHE40;FBP1;TNFAIP3;IL6;CXCR4;BGN;CHST2;CCN5;PDGFB;ALDOC;LDHC;SULT2B1;STC1;PGAM2;NCAN;TPI1;B3GALT6;JUN;SERPINE1;GAPDHS;MAP3K1;GBE1;ANKZF1;PDK1;EXT1;TGFBI;FOS;P4HA2;ILVBL;MAFF;BCL2;HS3ST1;HEXA;HK2;FOXO3;PYGM;GPC3;CAVIN3;VLDLR;TPBG;SLC6A6;KDM3A;RRAGD;GAA;NDST1;PFKFB3;HDLBP;PGK1;ETS1;LDHA;GPC4;CASP6;ADM;IDS;GPI;PNRC1;CA12;BNIP3L;PGM1;GYS1
