kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
CLN8,MSigDB_Hallmark_2020,prerank,Adipogenesis,0.32933001634266507,1.0038967229683857,0.4238095238095238,1.0,0.999,72/200,21.59%,CD36;ADCY6;SPARCL1;LIFR;IDH3G;ATP5PO;GPX4;NABP1;GBE1;REEP6;PPARG;SCP2;AIFM1;TOB1;ACOX1;SULT1A1;COX7B;ETFB;GHITM;DBT;RTN3;PPP1R15B;UQCRC1;FZD4;BCKDHA;DLD;DNAJC15;C3;UCK1;CAT;DRAM2;ARAF;DGAT1;PEMT;G3BP2;HADH;SSPN;RIOK3;LPCAT3;SLC27A1;SUCLG1;MRPL15;PRDX3;NDUFB7;ALDOA;UQCR11;REEP5;HSPB8;SORBS1;ESYT1;BCL6;COQ3;COX6A1;LPL;EPHX2;CYC1;PEX14;ECH1;UQCR10;GPAT4;UCP2;TANK;GPD2;HIBCH;COL4A1;DNAJB9;RAB34;ATL2;CD151;ITIH5;ENPP2;PTCD3
CLN8,MSigDB_Hallmark_2020,prerank,Myogenesis,-0.33017499678638745,-0.9909368267439617,0.4402730375426621,1.0,1.0,76/199,24.45%,SGCA;CHRNG;CACNG1;HRC;IGFBP3;COL6A3;GABARAPL2;GJA5;ADAM12;MAPK12;SPDEF;CRYAB;GAA;SIRT2;MYL6B;EFS;CKM;GNAO1;TNNI1;HBEGF;MYH9;CFD;MAPRE3;PPFIA4;IFRD1;APP;TPM2;CRAT;FDPS;ITGB4;NCAM1;NOTCH1;NOS1;CACNA1H;TAGLN;VIPR1;MEF2A;PFKM;HDAC5;DMPK;TSC2;AGRN;BDKRB2;MEF2C;AK1;SGCG;SPHK1;MRAS;NQO1;DMD;STC2;DTNA;TEAD4;NAV2;ACTA1;MYH2;TPD52L1;TNNC1;PDLIM7;PLXNB2;KCNH1;KIFC3;FGF2;LPIN1;CHRNB1;ERBB3;RB1;ACTN2;GADD45B;COL4A2;ENO3;SH3BGR;PPP1R3C;TNNT2;LDB3;MYO1C
CLN8,MSigDB_Hallmark_2020,prerank,Estrogen Response Early,-0.3278318919427997,-0.9787243225724449,0.48322147651006714,1.0,1.0,76/198,24.64%,AREG;KLK10;ALDH3B1;KLF4;FCMR;TGM2;AQP3;MYB;ELOVL2;ARL3;SYNGR1;CXCL12;MLPH;CD44;MAPT;ABAT;JAK2;SCNN1A;PTGES;IL6ST;MYOF;MUC1;RAPGEFL1;SFN;SLC26A2;MYBBP1A;OVOL2;CLDN7;SLC27A2;AMFR;KRT8;MPPED2;SLC2A1;BCL11B;PODXL;XBP1;SLC7A2;CANT1;RAB31;SLC22A5;SLC7A5;RET;GLA;DLC1;ZNF185;DHRS3;PDZK1;UNC119;AR;WFS1;TMEM164;OLFM1;STC2;FARP1;SOX3;MAST4;NAV2;KAZN;TJP3;TPD52L1;INPP5F;OPN3;ADCY1;FHL2;ELOVL5;RETREG1;GJA1;HES1;SYBU;RRP12;SH3BP5;DYNLT3;RPS6KA2;MINDY1;ESRP2;TIPARP
CLN8,MSigDB_Hallmark_2020,prerank,TNF-alpha Signaling via NF-kB,0.30518337711698346,0.9332119311307777,0.6372093023255814,1.0,1.0,49/199,17.87%,TNFRSF9;MSC;IFIH1;TNC;BIRC3;LAMB3;KYNU;TNFSF9;IRF1;KDM6B;NR4A3;SGK1;JUN;SAT1;EDN1;REL;CLCF1;CSF1;INHBA;CXCL3;ZBTB10;TNFAIP2;PHLDA1;RCAN1;TLR2;IL15RA;SERPINB8;PER1;DNAJB4;EFNA1;TAP1;LIF;YRDC;TUBB2A;NFAT5;MAFF;B4GALT5;NFKB1;CCND1;KLF10;F3;BCL3;SOD2;BCL6;RELA;RNF19B;IER5;PTPRE;B4GALT1
CLN8,MSigDB_Hallmark_2020,prerank,Coagulation,0.31519306435698824,0.9269539394232383,0.6206896551724138,1.0,1.0,33/138,19.82%,F13B;CPQ;APOC2;MST1;THBD;ITGB3;PROZ;MMP3;PF4;APOA1;RAC1;PROS1;USP11;CPN1;C3;CTSH;FN1;F12;F10;MAFF;F3;RGN;LGMN;CLU;MMP14;S100A13;MMP15;FYN;FURIN;CTSV;MMP2;LAMP2;ITGA2
CLN8,MSigDB_Hallmark_2020,prerank,Interferon Gamma Response,0.2979492052190987,0.9147584560925227,0.7071428571428572,1.0,1.0,63/199,21.58%,SELP;IFIH1;GBP6;CIITA;PSMB8;IRF1;ITGB7;IFIT1;USP18;BANK1;RNF213;STAT4;BPGM;TNFAIP2;TRIM25;IL15RA;PSMA3;LCP2;PSME1;SLC25A28;CD86;DHX58;WARS1;TAP1;EPSTI1;GPR18;EIF2AK2;FAS;HLA-A;IRF2;PTPN2;IFITM2;NFKB1;SSPN;HERC6;NMI;TXNIP;VAMP5;EIF4E3;SOD2;NOD1;CASP7;NCOA3;CD40;PIM1;STAT2;PARP12;ISOC1;ISG15;VAMP8;IFI30;NUP93;PSMB2;PTPN1;KLRK1;CFB;ISG20;IL18BP;CD274;LATS2;MX1;MT2A;SPPL2A
CLN8,MSigDB_Hallmark_2020,prerank,KRAS Signaling Dn,0.30216484918758646,0.9142984719163874,0.7149643705463183,1.0,1.0,37/199,11.50%,PAX4;WNT16;CCR8;KCND1;CACNA1F;TCL1A;NRIP2;MYOT;TGM1;SGK1;EDAR;TENT5C;SPHK2;MAGIX;CCDC106;KCNN1;EDN1;GDNF;CHST2;SCN10A;KCNE2;ALOX12B;TGFB2;GAMT;LYPD3;ZNF112;CCNA1;THNSL2;CYP39A1;TAS2R4;TFCP2L1;ADRA2C;ITGB1BP2;TNNI3;BMPR1B;HTR1D;IRS4
CLN8,MSigDB_Hallmark_2020,prerank,mTORC1 Signaling,0.2949533043999969,0.9036702674267244,0.7780612244897959,1.0,1.0,65/199,19.81%,CXCR4;SERP1;TUBA4A;PLOD2;TMEM97;PSMG1;GBE1;PGK1;TFRC;SKAP2;ATP5MC1;CCT6A;ABCF2;PSPH;HSPA9;TUBG1;EBP;PSMA3;HSPD1;CTSC;GSR;HK2;WARS1;ASNS;GOT1;CCNF;UCHL5;MLLT11;SDF2L1;RAB1A;SEC11A;PSMD12;TXNRD1;FADS1;HMBS;PIK3R3;EDEM1;DDX39A;EIF2S2;ADD3;PSMD14;GGA2;PSMC6;PSMC4;DDIT3;GLRX;COPS5;ALDOA;LGMN;PLK1;VLDLR;ATP6V1D;PPA1;GAPDH;HSPA4;EGLN3;PPIA;CCNG1;SHMT2;LDHA;IFI30;DHCR24;SRD5A1;NUP205;SYTL2
CLN8,MSigDB_Hallmark_2020,prerank,Estrogen Response Late,-0.3019323202910158,-0.89902244447466,0.7491408934707904,1.0,1.0,60/197,21.93%,AREG;KLK10;ALDH3B1;KLF4;ZFP36;FGFR3;MYB;ARL3;CXCL12;CPE;CD44;MAPT;MAPK13;JAK2;SCNN1A;PTGES;IL6ST;MYOF;LAMC2;ACOX2;JAK1;RAPGEFL1;SFN;SLC26A2;PLAC1;STIL;OVOL2;PRKAR2B;SLC27A2;AMFR;XBP1;RAB31;CDH1;SLC22A5;SLC7A5;RET;GLA;EMP2;PTPN6;UNC13B;PDZK1;WFS1;GALE;TFPI2;ID2;OLFM1;FARP1;SOX3;SORD;COX6C;TJP3;GPER1;TPD52L1;TNNC1;SCUBE2;MDK;OPN3;CHST8;RNASEH2A;ELOVL5
CLN8,MSigDB_Hallmark_2020,prerank,Complement,-0.2969525730240567,-0.879041463122903,0.8498293515358362,1.0,1.0,66/200,25.30%,ZEB1;F7;F5;ADRA2B;CTSS;LGALS3;ERAP2;WAS;GATA3;RBSN;SH2B3;RHOG;F2;KCNIP2;GNGT2;JAK2;PLA2G7;C1S;CTSO;CR1;C2;CTSL;GRB2;PIK3R5;LRP1;CBLB;CTSB;PRKCD;CD59;TMPRSS6;RNF4;DGKG;LYN;DOCK9;DOCK4;CASP3;CXCL1;DUSP6;ME1;CD46;LAP3;TFPI2;DPP4;PRDM4;CALM3;SIRT6;CALM1;PLAUR;GNB4;CP;XPNPEP1;LCK;ACTN2;CASP10;ADAM9;CD55;COL4A2;CSRP1;LIPA;DGKH;CTSD;CASP9;PLSCR1;RABIF;PHEX;PDGFB
