dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
PRMT6,PRMT2,31.10085,0.3150489008976505,Non-significant background,152,1.5674951015778076
PSMA7,PSMA1,31.7299,0.3147071297185467,Non-significant background,153,1.5778075693513458
GATA3,GATA2,63.94985,0.3142836228143881,Non-significant background,154,1.5881200371248838
SDF2,SDF2L1,61.6071,0.3124809750116979,Non-significant background,155,1.5984325048984223
HBG2,HBD,72.1088,0.311690479054456,Non-significant background,156,1.6087449726719605
SREK1,SRSF11,44.7579,0.3105106808820791,Non-significant background,157,1.6190574404454987
HADHB,ACAT2,31.47445,0.3099895758185815,Non-significant background,158,1.6293699082190367
PIP4P1,PIP4P2,51.758,0.3094978175523769,Non-significant background,159,1.639682375992575
PSMC4,PSMC1,46.6507,0.3094958509029233,Non-significant background,160,1.6499948437661134
PSMC3,PSMC5,41.00925,0.3087125393994161,Non-significant background,161,1.6603073115396514
EEF1G,CLIC4,23.0913,0.308386298477785,Non-significant background,162,1.6706197793131896
DENND1A,DENND1B,39.82575,0.3048575271468741,Non-significant background,163,1.6809322470867278
YIPF2,YIPF1,48.5656,0.3039238353155386,Non-significant background,164,1.6912447148602663
ISG20L2,AEN,37.2316,0.3031630877159639,Non-significant background,165,1.7015571826338043
CBLL2,CBLL1,49.822,0.3030650157505436,Non-significant background,166,1.7118696504073425
JOSD1,JOSD2,52.37515,0.3027664899614114,Non-significant background,167,1.7221821181808805
VDAC3,VDAC2,72.12325,0.2999025824312349,Non-significant background,168,1.732494585954419
NUBPL,NUBP1,36.6198,0.2990863502299479,Non-significant background,169,1.7428070537279572
SRSF1,SRSF4,34.8252,0.2979566061253854,Non-significant background,170,1.7531195215014954
RPF1,IMP4,28.0428,0.2974552805991082,Non-significant background,171,1.7634319892750334
SNRNP70,SNRNP35,29.5432,0.2972262358333888,Non-significant background,172,1.7737444570485716
CERS5,CERS2,41.97905,0.2971084413640042,Non-significant background,173,1.78405692482211
BMP2K,AAK1,37.0872,0.2965898204735395,Non-significant background,174,1.794369392595648
ATF7,ATF2,56.50575,0.2963707298073474,Non-significant background,175,1.8046818603691863
PSMB7,PSMB4,20.34445,0.2960793888718726,Non-significant background,176,1.8149943281427245
GNAI2,GNAQ,50.70185,0.2953702089478549,Non-significant background,177,1.825306795916263
CALM2,CALM3,100.0,0.2952320169274393,Non-significant background,178,1.835619263689801
HBS1L,EEF1A1,29.7372,0.295204010786119,Non-significant background,179,1.8459317314633392
SPTLC1,GCAT,21.8289,0.2951265127901047,Non-significant background,180,1.8562441992368772
SLC7A1,SLC7A11,21.3357,0.2949186736011865,Non-significant background,181,1.8665566670104154
CNOT3,CNOT2,20.6692,0.2947391879911988,Non-significant background,182,1.876869134783954
EIF4A2,DDX28,23.6987,0.2928964720127452,Non-significant background,183,1.8871816025574921
SEPTIN2,SEPTIN6,36.29525,0.2925078472900953,Non-significant background,184,1.8974940703310301
ALAS1,GCAT,26.0643,0.2917174847368211,Non-significant background,185,1.9078065381045684
FBXO6,FBXO17,32.2464,0.2912301293751571,Non-significant background,186,1.9181190058781068
UBE2R2,CDC34,80.1702,0.2908750315538596,Non-significant background,187,1.9284314736516448
POLR1D,POLR2J,28.91845,0.2899429222511408,Non-significant background,188,1.938743941425183
PRRC2C,PRRC2A,29.35485,0.289412276762459,Non-significant background,189,1.9490564091987213
PSMC1,PSMC3,42.77595,0.289040806724463,Non-significant background,190,1.9593688769722597
PSMA6,PSMA4,30.40135,0.2878851188115157,Non-significant background,191,1.9696813447457977
BTF3,BTF3L4,71.5743,0.2875616244837924,Non-significant background,192,1.979993812519336
EOMES,TBX1,21.7764,0.2865944954411188,Non-significant background,193,1.990306280292874
SRSF4,SRSF6,58.92865,0.2863226712670905,Non-significant background,194,2.000618748066412
