dep_gene,paralog_gene,mean_identical_score,delta_z,direction,paralog_ctrl_mean_z
OSBPL6,OSBPL1A,24.63025,-0.007474064826965332,g2_to_g1,-1.3695926666259766
PFN1,PFN3,43.32635,0.0,g2_to_g1,-0.5468161702156067
COX10,COQ2,20.3063,-0.6849663686007261,g1_to_g2,0.028794867917895317
ADAM10,ADAM11,20.17525,-3.717345416545868,g2_to_g1,0.7705935835838318
SNCB,SNCG,52.1448,-0.5669729001820087,g2_to_g1,0.05959682539105415
RGS2,RGS17,25.65335,1.1693256795406342,g2_to_g1,-0.41838499903678894
EEF2,EFTUD2,37.1935,0.35654008388519287,g2_to_g1,-1.0865460634231567
GSTA4,GSTA3,53.1532,-3.692776381969452,g2_to_g1,3.1750905513763428
GSTA4,HPGDS,21.4417,0.0,g1_to_g2,-0.1273670345544815
GSTA4,GSTP1,29.1892,-1.02185620367527,g1_to_g2,0.12800206243991852
GSTA4,GSTA5,53.1532,,g1_to_g2,
GSTA4,GSTM4,24.0929,-2.8333226144313812,g1_to_g2,0.28285345435142517
GSTA4,GSTM3,22.81985,-1.1307518482208252,g1_to_g2,0.4786182641983032
GSTA4,GSTM1,23.18375,0.0,g1_to_g2,-0.07372097671031952
GSTA4,GSTA1,53.6036,0.0,g1_to_g2,-0.1273057758808136
GSTA4,GSTA2,54.0541,,g1_to_g2,
GSTA4,GSTM2,24.0929,0.7376079261302948,g1_to_g2,-0.34823858737945557
GSTA4,GSTM5,21.3654,,g1_to_g2,
RGL1,RALGDS,44.92825,0.10204882174730301,g2_to_g1,0.1063227728009224
ZNF292,RLF,26.64675,-1.7215348482131958,g2_to_g1,0.3653937578201294
ADAM10,ADAM19,21.1081,-0.12461894750595093,g2_to_g1,-0.5694118142127991
FERMT2,FERMT1,63.228,1.4297857284545898,g2_to_g1,0.1644521951675415
ADAM10,ADAM12,21.23365,-0.7878928482532501,g2_to_g1,0.6942734122276306
RGS2,RGS19,28.0429,0.4265327453613281,g2_to_g1,0.1846514344215393
CNTNAP2,CNTNAP5,50.04205,-2.0942754447460175,g1_to_g2,0.42615756392478943
CNTNAP2,NRXN1,21.577,-1.4682185649871826,g1_to_g2,-0.5625841617584229
CNTNAP2,CNTNAP1,42.29975,-0.3981621563434601,g1_to_g2,0.8347944021224976
CNTNAP2,CNTNAP3,45.8314,-2.682149291038513,g1_to_g2,0.588981032371521
CNTNAP2,NRXN2,21.6339,1.9969978630542755,g1_to_g2,-0.48592427372932434
DYNC1H1,DNAH7,21.3556,-0.17158044129610062,g2_to_g1,0.2659629285335541
HSPA5,HSPA4L,25.849,0.22710153320804238,g1_to_g2,0.003315375652164221
HSPA5,HSPA9,48.62925,-1.658243976533413,g1_to_g2,-0.10383347421884537
HSPA9,HSPA5,48.62925,0.08002707362174988,g2_to_g1,0.34423643350601196
HSPA5,HSPA1L,62.24565,-1.9488434195518494,g1_to_g2,0.7376430630683899
HSPA5,HSPA6,60.1431,0.0,g1_to_g2,-0.37414512038230896
HSPA5,HSPA1B,61.62785,1.8216523379087448,g1_to_g2,-0.2023746222257614
HSPA5,HSPA1A,61.62785,-1.5356687903404236,g1_to_g2,-0.6775074601173401
HSPA5,HYOU1,22.77045,-0.7795946449041367,g1_to_g2,1.0108073949813843
HYOU1,HSPA5,22.77045,0.3514993190765381,g2_to_g1,0.34423643350601196
HSPA5,HSPA4,28.4191,-1.168050728738308,g1_to_g2,1.1043267250061035
HSPA5,HSPA8,64.00245,0.04724256694316864,g1_to_g2,0.037341125309467316
HSPA5,HSPA2,62.65345,2.5593611896038055,g1_to_g2,-0.4409589469432831
TAF1,TAF1L,90.9041,0.0,g2_to_g1,-0.4307447671890259
PCDH1,PCDH11X,34.8154,-1.3205001801252365,g2_to_g1,1.1944983005523682
DYNC1H1,DYNC2H1,27.4939,-0.6640404015779495,g1_to_g2,0.15366019308567047
DYNC1H1,DNAH5,20.971,2.0546416640281677,g1_to_g2,-0.5186248421669006
DYNC1H1,DNAH17,22.0775,-0.18288552947342396,g1_to_g2,0.2081691175699234
DYNC1H1,DNAH1,21.7208,0.30524080991744995,g1_to_g2,0.32314956188201904
DYNC1H1,DNAH10,22.22065,2.9273794889450073,g1_to_g2,-1.0024967193603516
DYNC1H1,DNAH12,20.8155,-1.7454333305358887,g1_to_g2,0.911379337310791
DYNC1H1,DNAH8,20.4649,0.0,g1_to_g2,-0.1653631627559662
DYNC1H1,DNAH3,20.6962,0.0,g1_to_g2,-0.3727610111236572
DYNC1H1,DNAH11,21.87735,0.0,g1_to_g2,-0.35070258378982544
DYNC1H1,DNAH2,21.87985,1.7160712853074074,g1_to_g2,-0.10786239057779312
PSAP,PSAPL1,43.25395,0.0,g1_to_g2,-0.49873241782188416
PSAP,SFTPB,22.66535,0.0,g1_to_g2,-0.16631761193275452
CDC42EP3,CDC42EP1,21.1073,-0.6024962365627289,g2_to_g1,0.862866222858429
HNRNPA2B1,MSI2,27.51415,-2.117273412644863,g2_to_g1,0.031197868287563324
VCP,NVL,34.68845,1.3570111691951752,g1_to_g2,-1.0188267230987549
VCP,PEX6,23.6285,-0.41562115401029587,g1_to_g2,0.4477613568305969
REEP2,REEP5,23.5314,-1.4601184129714966,g2_to_g1,0.962360680103302
KIF1B,KIF16B,23.7758,0.34781230986118317,g2_to_g1,0.22644339501857758
DNAJC6,GAK,39.1028,-0.24105369299650192,g1_to_g2,0.036784954369068146
OSBPL6,OSBP2,26.5971,3.5147613286972046,g1_to_g2,-0.7117592096328735
OSBPL6,OSBPL7,49.68285,-4.46701979637146,g1_to_g2,-0.16552186012268066
RGL1,RGL4,24.4262,-0.6673457995057106,g2_to_g1,-0.07385661453008652
EWSR1,FUS,50.184,0.610881894826889,g1_to_g2,0.11958041787147522
EWSR1,TAF15,39.8484,1.52333402633667,g1_to_g2,-0.7203194499015808
HNRNPA2B1,DAZAP1,23.9835,-0.6960304379463196,g2_to_g1,0.16640979051589966
SPG7,YME1L1,26.81055,-0.4452665150165558,g1_to_g2,0.5932530164718628
HSPA9,HSPA2,49.6664,0.2290908396244049,g2_to_g1,-0.4409589469432831
HYOU1,HSPA2,24.3765,0.9313601553440094,g2_to_g1,-0.4409589469432831
CYB561,CYBRD1,36.28075,0.0,g1_to_g2,-0.20177073776721954
CYB561,CYB561A3,39.364,1.20943683385849,g1_to_g2,-0.5982913374900818
MTA1,MTA2,60.95255,1.9327706545591354,g1_to_g2,-0.0842696875333786
MTA1,MTA3,64.41595,0.13693882524967194,g1_to_g2,-0.32512614130973816
ATP1A3,ATP2C2,26.9841,-1.2227253317832947,g2_to_g1,0.27320539951324463
HSPA9,HSPA4L,23.3157,0.7979901568032801,g1_to_g2,0.003315375652164221
HSPA9,HSPA1L,49.28325,-2.0191094279289246,g1_to_g2,0.7376430630683899
HSPA9,HSPA6,49.50725,0.0,g1_to_g2,-0.37414512038230896
HSPA9,HSPA1B,49.73815,0.44843102991580963,g1_to_g2,-0.2023746222257614
HSPA9,HSPA1A,49.73815,1.0485121011734009,g1_to_g2,-0.6775074601173401
HSPA9,HSPA4,22.50425,0.3348102569580078,g1_to_g2,1.1043267250061035
HSPA9,HSPA8,51.05055,-1.0967624261975288,g1_to_g2,0.037341125309467316
CELF1,CELF2,77.105,0.49661940336227417,g2_to_g1,-1.070159673690796
SNCB,SNCA,64.99465,-0.3149808645248413,g1_to_g2,-0.19283336400985718
ATXN7,ATXN7L1,38.0039,-1.6519851107150316,g1_to_g2,-0.013973889872431755
ATXN7,ATXN7L2,27.2878,1.3041234612464905,g1_to_g2,0.5856407284736633
CASP3,CASP7,50.4462,0.0,g2_to_g1,-0.45789769291877747
TRPM7,TRPM8,20.4042,1.477167621254921,g2_to_g1,-0.17599917948246002
EIF4G1,EIF4G3,46.92145,0.19356408715248108,g1_to_g2,0.16541394591331482
EIF4G1,EIF4G2,22.6358,-2.079266130924225,g1_to_g2,0.8804304003715515
CDC42EP3,CDC42EP4,21.2499,0.5192202925682068,g1_to_g2,-0.6622170209884644
CDC42EP3,CDC42EP5,25.13035,0.0,g1_to_g2,-0.354120135307312
CDC42EP3,CDC42EP2,41.7548,-2.585167169570923,g1_to_g2,1.014501690864563
CTSD,PGC,38.53465,0.0,g2_to_g1,-0.12598226964473724
RGL1,RGL3,38.6251,0.0,g2_to_g1,-0.32684072852134705
HYOU1,HSPA1L,24.3301,-0.2838517129421234,g2_to_g1,0.7376430630683899
HYOU1,HSPA1A,24.8423,0.44506441056728363,g2_to_g1,-0.6775074601173401
ELMO1,ELMO3,51.9708,0.6229056119918823,g2_to_g1,0.6918882131576538
PPP2R2B,PPP2R2A,84.7208,1.2532837018370628,g1_to_g2,-1.1960409879684448
OPTN,IKBKG,25.13035,-1.0381917357444763,g1_to_g2,-0.4051662087440491
ELMO1,ELMO2,75.60645,0.05387920141220093,g2_to_g1,-0.16887526214122772
DAP,DAPL1,32.5545,-2.3471221327781677,g2_to_g1,1.7929763793945312
NTRK2,MUSK,26.13635,0.0,g2_to_g1,-0.07372097671031952
NTRK2,NTRK3,53.42875,1.648967381566763,g1_to_g2,0.03245401754975319
NTRK2,NTRK1,49.11445,0.14105094224214554,g1_to_g2,-0.24326904118061066
NTRK2,DDR2,20.43915,-0.4389248639345169,g1_to_g2,0.37488114833831787
CASP3,CASP2,21.54325,0.19767961651086807,g2_to_g1,-0.13228335976600647
XIAP,BIRC3,36.677,0.0,g1_to_g2,-0.2150869071483612
XIAP,BIRC2,35.9389,1.6389125101268291,g1_to_g2,-0.04612166807055473
RGS2,RGS5,41.0568,-0.8719162344932556,g2_to_g1,0.4845335781574249
ATP1A3,ATP2C1,27.39405,0.5099494308233261,g2_to_g1,-0.5748355388641357
CASP3,CASP6,36.87115,-0.4577832370996475,g2_to_g1,0.3777526617050171
FRMD4A,RDX,20.35075,2.820067048072815,g1_to_g2,0.7181240320205688
RGS2,RGS18,36.42835,0.0,g2_to_g1,-0.07372097671031952
CTSD,REN,39.12195,0.0,g1_to_g2,-0.10296961665153503
CTSD,PGA4,43.5392,0.0,g1_to_g2,-0.10150336474180222
CTSD,PGA5,43.5392,0.0,g1_to_g2,-0.09564314782619476
CTSD,PGA3,43.5392,0.0,g1_to_g2,-0.6063101887702942
CTSD,NAPSA,44.71565,-1.384734958410263,g1_to_g2,0.12592193484306335
CTSD,CTSE,44.5719,0.0,g1_to_g2,-0.17832042276859283
CTSD,BACE1,23.88525,-0.979092925786972,g1_to_g2,0.44769713282585144
RGS2,RGS21,44.70725,7.106167703866959,g2_to_g1,-0.14823904633522034
RGS2,RGS1,34.2865,0.0,g2_to_g1,-0.10315483808517456
PLD3,PLD5,32.0332,-1.382140725851059,g2_to_g1,0.29904744029045105
WDR45,WDR45B,48.03615,1.6628618836402893,g2_to_g1,-1.3226416110992432
DMXL1,DMXL2,55.35555,0.4994232505559921,g1_to_g2,0.10188271105289459
TRIM26,TRIML2,20.3037,0.0,g2_to_g1,-0.4151046574115753
ATP1A3,ATP1A1,86.15135,1.5664231777191162,g2_to_g1,-0.6077501177787781
REEP2,REEP4,52.8394,1.4001880586147308,g1_to_g2,-0.36654719710350037
REEP2,REEP1,53.32565,3.10782653093338,g1_to_g2,-0.8419185280799866
REEP2,REEP6,20.14935,-2.1326799988746643,g1_to_g2,0.7068580985069275
HYOU1,HSPA4,26.4073,-1.4376234114170074,g2_to_g1,1.1043267250061035
HNRNPA2B1,HNRNPA1,60.7038,-0.311728298664093,g2_to_g1,0.9308539628982544
ST6GAL1,ST6GAL2,35.045,-3.1400392055511475,g1_to_g2,0.5934457778930664
FAM171A2,FAM171B,27.4818,-0.47639669477939606,g1_to_g2,-0.2383003681898117
AP2A2,AP1G1,24.86845,-0.6235294416546822,g2_to_g1,0.535061240196228
