,TDRP,ERICH1,ARHGEF10,KBTBD11,CLN8
TDRP,0.9999999999999999,0.005471371423431842,0.032406318488180326,0.05078611989245085,0.018259900395675804
ERICH1,0.005471371423431842,1.0,0.04516187680133783,0.05364060972456814,0.021806458016683607
ARHGEF10,0.032406318488180326,0.045161876801337826,1.0,0.057612749690352516,0.05446427803135166
KBTBD11,0.050786119892450854,0.05364060972456815,0.057612749690352516,1.0,0.032760672839065544
CLN8,0.018259900395675807,0.021806458016683607,0.05446427803135166,0.032760672839065544,1.0
