,cluster_id
TEKTIP1,234
PIEZO1,582
ETV3,-1
AICDA,551
CPNE1,-1
RBAK,-1
FASLG,-1
HOXC5,164
FURIN,-1
GUSB,613
TUBG2,99
MYL6B,175
ZNF280C,-1
YIF1B,614
CRMP1,-1
MRPL11,468
TRIM25,-1
SESN3,-1
MKKS,305
C5orf24,-1
BCL2L13,450
TMEM43,-1
NADK2,519
CIB1,-1
MTG2,-1
CACYBP,-1
ILKAP,-1
ZMAT1,185
ZNF823,-1
ADGRA3,-1
non-targeting,360
CHPT1,-1
TBX22,600
ATP2B1,483
SPRY2,542
EIF2AK4,414
SMIM10L2B,496
PHIP,153
EIF4B,79
PIANP,-1
ITPK1,391
TRAPPC2B,180
TRIM27,-1
HMBS,-1
MAGED2,461
ZNF69,603
USP17L2,-1
THBS1,480
KIF5B,338
C10orf82,-1
ARHGEF40,240
SLC18B1,-1
BAG2,-1
CDC42SE1,-1
ZNF524,-1
RASD2,446
ZBTB5,-1
RAB3A,229
SFRP2,-1
SPINT1,-1
REL,-1
DNAAF9,-1
ZNF730,-1
GRHPR,-1
ZNF398,288
ZNF25,-1
LRRFIP1,627
CD40,288
BAK1,-1
RBP1,619
CLTB,-1
HINT1,-1
MPC2,582
PSMG1,456
GNAI3,-1
GOLGA2,247
TSKU,-1
HEATR6,26
PFN1,520
TMEM9,-1
TMEM248,-1
CTSF,444
ZBTB7C,-1
B4GALT4,-1
WSB1,415
ZBTB14,-1
SYDE1,620
SCMH1,-1
RB1,-1
ATOH1,256
KDM2B,-1
RGL4,454
ELAC1,246
ARF6,270
SNX27,63
FAM86C2P,226
SP9,-1
IGFBP2,278
UIMC1,-1
CAB39,57
RPL39L,215
PDCD6IP,309
SYNCRIP,574
C6orf226,-1
ATP6V0A2,411
MSI1,-1
MN1,-1
ASCL5,-1
TUBB6,309
APOC1,501
ZFPM2,-1
ODC1,-1
POGZ,-1
PACSIN3,178
METTL13,-1
LCORL,180
TTLL8,-1
LTBP3,584
LRRC58,-1
GPX4,266
YWHAQ,-1
FGF21,409
BEND5,-1
H2BC5,-1
SEPTIN2,442
HSPA1A,-1
CHD5,-1
PNMT,-1
C17orf49,-1
MAPKAPK3,-1
GTF3C5,371
POLQ,527
BAZ1B,507
GATA2,-1
RNASE3,-1
PHLDA2,499
USH1G,532
ASXL1,-1
AP5B1,342
RC3H2,212
EYA2,230
FAM89B,-1
MAGEF1,484
TMEM126A,-1
RASL11A,491
H4C1,621
TXN2,-1
ZNF541,-1
PDCD2L,595
FOXA3,-1
C7orf25,-1
UBE2E3,-1
RETREG2,-1
MAT2B,158
LHX3,577
MLF2,633
REPIN1,-1
NKAPD1,-1
MEF2C,144
KBTBD8,-1
ZNF225,-1
REEP6,434
RHOB,531
HAGHL,320
CGGBP1,505
TBC1D3K,483
ZMYM5,293
PRKAA1,367
ZNF48,-1
TYRO3,-1
UHMK1,-1
TMEM250,-1
LZTS2,-1
TM7SF2,446
FOXB2,-1
KLF6,-1
SKP2,607
H2AB2,62
SDC3,45
IGFBP1,284
ZNF572,-1
ZNF473,-1
PVR,235
S1PR2,606
LMTK3,-1
SORT1,488
KIFBP,-1
SETD3,-1
RAVER1,154
ERVK3-1,-1
S1PR5,479
EIF2AK1,519
CHAMP1,-1
MMP16,-1
PLAGL2,-1
BOLA1,-1
SMYD3,-1
ZBTB26,-1
ZNF557,572
HOXD11,-1
RLIM,-1
PLEKHB1,100
PPP6R2,-1
TMED9,-1
GPR19,220
NARF,-1
FOXI2,395
SLC25A23,193
ASS1,359
FMR1,-1
RAD23A,628
CERS2,520
TNFAIP3,-1
SBK1,385
RNF2,-1
LTN1,335
TACO1,-1
ARHGEF39,-1
ZSCAN5A,516
BAG6,-1
ECH1,290
ADH5,298
ZNF12,241
GALE,484
PSAT1,-1
PHOX2A,-1
TMEM167A,-1
KIF1C,545
BAG4,278
DMRT3,486
NKX2-3,585
HTRA2,560
ZNF140,164
PIGT,297
HDGFL2,390
SQSTM1,-1
UNKL,622
TMEM88,-1
FAM78A,-1
TPRN,331
CYB5R3,571
GTPBP1,-1
STUB1,565
LEPROT,217
WDCP,450
HOXB3,102
ZNF783,424
POMT2,-1
PLEKHF1,-1
SCAF11,-1
RAPGEF3,163
METTL21C,-1
SNAI3,-1
ZNF66,-1
CHD8,-1
GSTA4,-1
BRCC3,-1
ERVMER34-1,-1
MBD6,-1
TSR3,-1
ZNF280D,-1
PLEKHG4,-1
TMEM120A,-1
UBE2N,509
ZNF320,-1
MPI,-1
IL17RD,-1
ANKS6,108
PLXNB3,122
SP1,-1
IRX3,-1
SPI1,-1
WASHC1,550
RSRP1,-1
PDE6B,155
SESTD1,-1
LYSMD3,-1
RESF1,-1
VWA1,446
ACSM2B,-1
FAM43A,375
HOXC10,-1
SLC22A1,-1
RIN1,578
ANKRD16,-1
STAT3,-1
CHCHD3,599
UBL4A,-1
HDDC3,293
SHPRH,-1
IRF1,-1
NAA60,-1
SLC25A4,-1
PHF13,43
TRIM45,380
ABRAXAS2,630
HLA-DOA,457
THBD,-1
ZNF496,-1
HOXA6,-1
CLDND2,637
FOXD4L3,-1
SNX1,78
SLC35B4,468
KDM4F,-1
FAM98A,256
GRPEL2,535
PHF7,-1
CAPN10,-1
H2BC10,581
HEXB,-1
BAIAP3,545
TMPO,-1
ZNF638,-1
NME4,542
LPL,466
TM6SF2,-1
COX18,440
NPY5R,-1
RNASE6,-1
MED13,-1
KLC1,-1
OSGEP,566
DTX3L,-1
ADO,44
ZNF799,239
TCF7,-1
LYPD3,-1
FGF2,-1
FAM83D,-1
BORCS6,-1
KXD1,-1
RBCK1,-1
GPHA2,336
C3orf80,594
ZNF160,-1
DIDO1,428
SPTY2D1,-1
IFIT5,-1
CRLF3,267
CEP72,-1
GTF2IRD1,-1
TRIM47,598
ZNF316,-1
ADM5,-1
USP45,557
S100A11,-1
PWWP2A,430
APBB1,-1
SORBS3,-1
RALGAPB,27
METTL26,182
MEX3D,97
PGAP3,328
ETV1,-1
SUCLG1,-1
ZBTB37,313
IRF6,553
WWC3,565
THY1,575
TTC9,602
HS6ST1,-1
ADIPOR2,-1
PACSIN1,-1
TBX2,-1
MIEN1,-1
UBR7,-1
PAX2,-1
PLA2G12A,-1
KDM3A,-1
PADI4,61
MAPK14,146
MRM1,102
UBAC1,519
SYT3,385
NPTX2,249
PTP4A2,634
ZNF92,-1
RAB11B,-1
ZNF558,-1
FEZF1,-1
TGIF2,220
LIN54,231
COTL1,-1
HAGH,85
ARID3C,557
ATM,-1
FSTL3,-1
CALM3,252
AOC2,-1
PYGO1,582
L1CAM,-1
HBP1,626
PDIA4,-1
NISCH,-1
PATL1,-1
UBE2V2,117
MYO1C,-1
NFKBIB,410
P2RY11,141
SLC30A5,-1
RDH14,-1
ACSF2,-1
NDUFS6,-1
NUDCD2,-1
IFNGR1,514
B3GNT8,568
BRPF1,-1
RASSF7,-1
PRKAR2A,-1
AJUBA,-1
CHPF,-1
AGO4,-1
STOML2,-1
UBE2B,571
SPATA2L,-1
BAZ2A,586
SCAF8,26
TFAP2B,609
BAHD1,-1
ZNF479,-1
SOX15,-1
ZNF550,-1
MKNK2,588
ELL2,-1
ZNF24,-1
ENSG00000170846,139
LTB4R,334
PGGHG,245
TWF1,-1
ZMYM2,-1
DNAJC28,-1
ARF5,392
ADIPOR1,-1
HSFX1,93
PPARGC1B,162
ZDHHC7,55
NHLH1,-1
CARS2,-1
RAD54B,-1
HPS3,-1
ZNF792,475
TMSB4Y,-1
ATAT1,615
MYO19,-1
TCEAL3,-1
NPAS4,-1
FAM200C,331
PLPBP,-1
GATAD2A,584
IRX5,490
MISP3,629
SLC52A2,-1
RTL8A,-1
TMEM205,310
ZMYND8,-1
FADS1,581
CARHSP1,-1
CYRIB,-1
ZNF880,454
PRKAG2,-1
TBX18,-1
TRIB2,-1
MBLAC2,-1
NANP,-1
ZHX2,-1
GAS1,-1
BLTP1,632
HOXA11,-1
LARS2,250
LMNB2,-1
ITPRIPL2,109
PLK3,-1
ZNF562,-1
VIM,-1
CYFIP2,409
TCEAL9,-1
DHRS4,208
GCC1,322
ZNF229,596
LHX1,-1
PHOX2B,631
SNURF,-1
PCED1A,203
PDP1,-1
ZNF329,-1
STARD4,105
AP3M1,-1
NUDT11,-1
TMC6,178
NSUN2,476
GATA1,-1
TCEAL5,-1
IRF7,636
TMEM87A,-1
ZNF33B,-1
MESP2,-1
STX1A,-1
STX17,447
TSPAN13,-1
MSANTD4,507
FOXE1,-1
SLX1A,350
ZNF506,-1
WNK1,-1
ADSS2,-1
FUOM,571
TMEM14C,167
B4GALT7,-1
BLZF1,-1
KDM4C,-1
ANO9,297
SIX4,226
ZNF502,149
PEPD,-1
SLC35F6,-1
SLC39A6,-1
MAP3K7,380
PALM3,-1
SMCR8,-1
SMIM15,-1
KDM3B,-1
YIPF2,-1
TRAF6,507
CDK17,-1
FAM168B,545
ZFY,196
STT3B,-1
DPY19L3,393
NNT,-1
SEPTIN6,51
H1-5,-1
ZNF605,-1
ACSL6,-1
MEGF8,-1
ZC3H12D,359
UBR2,471
ZBTB40,455
DENND1C,-1
RBM4B,-1
RERE,-1
SETSIP,70
CCNL2,-1
ZNF775,543
AKR1B1,-1
SPZ1,-1
IDH3A,496
TFB2M,-1
TMEM183A,-1
TGFBR2,-1
ZNF853,-1
DIPK1B,-1
CAPN6,157
ZBED1,-1
ZNF33A,418
ZNF700,-1
ANXA11,57
ISL1,180
SRSF9,170
ZNRF2,581
UBQLN4,-1
UQCRFS1,-1
TMEM106C,-1
PRKAB1,-1
FOXS1,-1
PLEKHM2,619
SUCLG2,-1
NFKBIL1,582
SUMO3,184
ARX,279
PSPC1,620
AMER1,-1
ALKBH7,565
RASL10B,193
SP140L,427
GMPS,48
ZZEF1,-1
SLC6A8,-1
FASTKD5,625
CKS1B,-1
MTA3,-1
NFATC2,443
POLH,364
FOXG1,555
TBX20,-1
ZNF414,-1
ATAD1,179
DNAJB9,-1
PER1,632
STAT5A,258
ZNF480,-1
DOK3,-1
NOBOX,145
PAX3,385
CYCS,599
ZDHHC23,343
RAB33B,28
TGIF2LX,351
NCOA6,-1
WASHC4,-1
RGS14,80
RREB1,-1
YTHDC2,-1
CUX2,516
ADCY3,-1
SYP,-1
LGALS1,-1
DDX25,-1
ZNF233,-1
STOX2,-1
SOCS2,87
LRP5,-1
HBQ1,548
STK26,483
HOXB9,-1
DHX58,626
SPACA4,-1
LRP1,408
NEFM,94
ZNF750,263
MYT1L,-1
SLC35F5,232
RP9,44
TPMT,560
KCNIP4,-1
CCNT1,-1
SPTBN2,560
DNAJB1,579
SOX17,-1
KPNA1,259
DUSP2,-1
INSM1,-1
ZBTB34,-1
ATF7IP2,-1
KMT2B,-1
ZNF514,580
SPO11,166
YRDC,248
INPP5F,451
TBX19,434
SAP30L,-1
FADD,-1
DNAJC25,-1
ZMAT3,-1
TDRD3,-1
ZFX,469
TENT5B,303
ARL5B,-1
SLC3A2,254
TP53INP1,338
ATF3,-1
ZNF215,436
SS18L2,135
KCNE5,-1
MAN2A1,-1
NUDT17,224
ACAD8,559
KDM4A,-1
CCDC85B,-1
TBC1D22B,395
C11orf86,426
FGFR2,-1
ZKSCAN1,-1
PLK2,-1
MPZL1,222
BROX,-1
PGP,553
HAS3,172
IL17C,419
VPS26B,-1
INSR,-1
ZNF200,482
PSME1,-1
HES3,-1
PCGF2,242
ORAI3,-1
CRIP3,-1
MEN1,-1
SH3BP4,574
CCDC177,-1
CRAMP1,-1
UBE2L5,-1
FAM162A,-1
SNX22,-1
PPID,-1
DUSP23,221
ACSBG1,-1
CBX1,-1
ZNF555,-1
SEMA6B,393
PIM1,-1
SLC46A1,438
SPTSSB,-1
AP5S1,401
H2AB3,-1
PPAT,-1
CCDC71L,-1
HDHD5,544
ZDHHC12,-1
HOXB13,-1
DNMBP,-1
PYCR1,-1
EBP,270
NR4A3,-1
TXNDC15,564
KIF1A,139
ZNF35,-1
BCDIN3D,504
NFXL1,-1
ABCF3,-1
ZNF729,-1
MOB1A,-1
RPA4,239
TFB1M,212
RPS6KA4,537
SLC25A1,-1
UGGT1,-1
NPRL2,-1
MPLKIP,-1
ADI1,396
NAMPT,413
OPA3,461
ESX1,-1
HOXB7,-1
RYBP,387
DLX2,75
ETNK1,-1
PAPLN,-1
KCTD12,-1
ZFTA,-1
LIN28A,343
TOMM34,419
LIG1,-1
MITF,-1
DMRT2,555
MFSD14A,295
KCNIP3,187
MRPL20,-1
TMEM203,336
RNF44,-1
RAB5B,-1
NECTIN2,391
CLUH,-1
PEX11B,572
EIF4H,471
TSTD1,-1
PRPSAP1,-1
CDIPT,79
CRAT,-1
ADAM8,-1
POTEE,624
SAP30,-1
CLDN7,466
IFT27,626
ALDH3A2,42
MARCKSL1,-1
GATD1,305
CBARP,78
NQO2,89
MAGT1,297
TSPO,-1
EID1,-1
METTL5,-1
NUDT8,585
FZD3,31
JAZF1,635
GPRIN1,551
INPP5E,-1
PROKR1,-1
NEUROD4,-1
MRPL23,-1
CIITA,-1
PYGB,-1
EEIG1,583
DNMT3B,92
UBN2,411
ZXDB,603
RCE1,-1
CISD3,-1
ZNF584,228
PRDX1,-1
SEBOX,586
PSME2,251
RIMKLB,-1
FAM170A,-1
RNF114,-1
EIF1AY,-1
ZNF239,-1
ATP5MC1,336
ZC3H7B,351
FSCN1,224
RFX7,-1
SLFN13,-1
MSH5,-1
GPT,414
DHRS11,525
ZNF70,636
CCDC82,-1
AMOTL1,-1
ATP6AP2,-1
IFI6,-1
TOMT,360
TSC22D3,-1
DNAJC11,167
TIGD7,276
RBM23,-1
STK4,-1
ENDOU,473
UBE2D1,-1
ASH1L,463
CASP3,-1
SLC2A1,-1
ACSL5,-1
YIPF1,-1
SCAI,-1
TSC2,429
OTUD5,570
APOBEC3H,618
MRPS16,554
TOB2,554
HOXD12,-1
UQCC3,454
ACSS2,-1
SIRT7,580
MBD3L3,606
ERMAP,2
PRKCSH,-1
UBE2J2,616
ZC3H7A,602
PPM1B,-1
P2RX5,582
ATP5IF1,141
ADGRL2,234
ARL4C,619
SEPTIN4,416
LLGL2,-1
KRBOX5,-1
HNMT,293
HDAC7,153
BMI1,605
CIDEC,-1
ZNF589,495
EMILIN3,272
C12orf29,538
LMO3,582
NLRX1,-1
RADX,-1
DIS3L2,75
FAM111B,-1
MTRF1L,-1
PTGES,600
HSDL1,-1
FZD5,562
CIDEA,457
COL9A1,-1
TNRC6C,519
LMX1A,-1
AARD,-1
BOD1,-1
FOXN4,112
COL6A1,-1
CHP2,-1
ALDOC,95
RNF8,-1
ZFYVE26,-1
PROCA1,544
MTA2,594
HSPBP1,481
CRTC1,-1
ZNF619,-1
LZTR1,-1
MMP24,-1
IFT22,-1
GRHL3,-1
TTLL12,67
EAF2,-1
FBLN1,-1
OSER1,-1
LAMB2,399
SULT1A1,-1
MCAT,377
FAM219B,186
ZNF423,-1
MSRB2,-1
GCN1,-1
ZIC1,-1
ASMT,-1
TBKBP1,240
TWIST2,-1
MUL1,-1
ZBTB49,-1
YPEL5,-1
RBBP6,330
PAIP2B,-1
GCHFR,512
RANBP6,-1
AMZ2,1
ZNF440,-1
PACSIN2,334
TTPAL,259
GOLPH3,578
ZBED3,-1
HYAL2,-1
DRAXIN,-1
USP16,-1
FMNL1,-1
PLSCR1,302
PHF20L1,-1
DCXR,-1
PCNT,-1
RNF225,-1
NFE2,-1
HEY2,-1
ASPH,-1
TRIM59,411
DUSP28,-1
MPZ,-1
ZBED4,-1
C1orf21,527
CAMKK2,-1
PPP1R26,-1
MTX3,-1
ZNF484,-1
APBB3,-1
FAM43B,-1
LIPG,16
LHX9,-1
DTD1,-1
ID3,-1
TXNRD1,-1
EDEM3,-1
H2BC12L,588
MON1B,-1
CLCN2,558
ZNF285,-1
ZNF300,-1
WASL,-1
STK16,-1
C1QTNF12,-1
RHOT2,-1
PGM3,485
NF2,574
VRK1,-1
ZNF714,76
CEBPB,223
MYCBP,436
TNK1,-1
EPC2,-1
RUNX3,379
TSPOAP1,207
KEAP1,-1
FOXJ3,-1
LMO1,-1
GTPBP3,83
ZNF581,302
C15orf61,-1
PRR14,-1
TYW5,233
RAG2,-1
SEC16A,-1
GPX3,-1
PICALM,-1
HCN2,-1
MID1IP1,183
RTN4,322
PTBP2,559
TMEM151B,-1
COPS7B,419
LRP10,128
FOXD1,-1
ZNF516,-1
ZNF222,-1
DNPH1,2
KLHDC3,388
SLC5A6,278
TMEM179B,580
BLOC1S2,-1
ZNF121,-1
PRAG1,575
HIRIP3,-1
BRD3,218
CSRNP2,103
SLC35B2,440
PAN2,-1
APOL2,-1
IRX4,-1
NCOA7,-1
NECAP2,595
DMRTA2,-1
NAV2,-1
CYP2D6,-1
MTFMT,272
GPX7,624
PARP6,621
MICAL3,409
TMED7,-1
UTF1,-1
METTL2A,243
IDH3G,572
ZNF395,493
H2BC1,-1
ACSM2A,-1
PARP10,385
ZNF345,295
SPDEF,226
DACH2,-1
P2RY1,412
PIGQ,-1
YWHAE,-1
ENDOD1,-1
ATAD2,529
MTURN,-1
MCAM,-1
HOXB1,-1
ENO2,460
KLF13,-1
DCAF5,356
H4C4,-1
DTX2,11
DSC2,271
STEAP3,-1
COQ10A,-1
STXBP3,549
BICRA,-1
SCARB2,52
EEF2K,181
MKI67,-1
RETREG3,167
ZFP69,55
ZNF717,-1
NDST2,315
SULF2,409
RGL2,37
TYW3,-1
SOGA3,-1
VAX2,-1
SIPA1L1,429
DIS3L,543
SIRT5,-1
ARMCX4,583
RGP1,-1
ZNF606,455
LUC7L,88
ZNF43,-1
ACTL6B,-1
COX15,624
RAG1,-1
RASGRP2,-1
RGPD6,-1
SET,-1
UBQLN1,411
SIX3,-1
SWAP70,68
IRF2BPL,-1
CENPU,-1
RAP2B,278
GDPD2,-1
IL6ST,347
GDPD3,16
HGH1,-1
ICMT,460
HPRT1,-1
TEX41,284
ZNF644,350
ECE2,416
PRM3,-1
PPP1R14A,573
TTLL6,141
ATP5MC3,-1
TMEM187,363
GNAZ,-1
MLKL,-1
BRMS1L,-1
IRX1,147
ZNF485,-1
FZR1,-1
DAG1,547
PRR36,637
MPG,-1
RABEP2,-1
TMEM14B,-1
PRMT9,-1
KPNA6,-1
SUB1,600
ZNF251,563
TMEM201,596
ZFP92,-1
TM7SF3,-1
NBEAL2,-1
FAAP20,-1
AP1G2,61
TP53INP2,492
SHMT2,443
HES4,-1
NFE2L3,385
SEMA4G,606
SPIB,485
SULT1C4,498
VAC14,-1
ZNF736,351
CHN1,-1
ZNF747,-1
NRAS,222
LTBP4,-1
FGF3,371
PURG,-1
FBLL1,-1
RHOXF1,584
STAR,229
PLA2G15,336
SYT7,-1
VAX1,-1
ETAA1,450
C9orf72,-1
PARP14,288
ZNF513,522
BEX2,179
KLHL42,-1
ECI2,-1
ZNF223,596
KIF4B,541
HMGB2,-1
ACO2,-1
TTYH1,-1
NSUN7,-1
CHRNB1,-1
REXO2,529
PNRC1,455
PLPP6,-1
YIPF3,411
FBXO6,340
PRKCA,-1
VPS37D,-1
EXD2,-1
TMF1,-1
CCDC14,296
ARAP3,-1
RAB2A,-1
PTDSS2,268
FSD1,-1
SH3PXD2B,621
ZBTB42,92
TERT,-1
SLAIN2,334
REST,-1
TSC22D2,-1
TK1,607
SCML2,-1
RGPD5,418
ZNF202,-1
ERI1,-1
ABHD11,-1
BNIP3,573
IFIH1,598
AZI2,-1
IQGAP1,-1
HCCS,-1
BAP1,212
PAICS,-1
SUMF2,-1
TSPAN3,-1
LHX2,350
USP12,447
FBXO42,31
PTTG1IP,-1
FOXD4L4,233
ARID2,-1
NOTCH2,538
NASP,350
ZIK1,-1
PODXL,496
RAP2C,-1
ZNF891,-1
PDIA3,-1
BEX3,268
CHID1,-1
ZNF248,-1
ACOT2,-1
USF2,-1
MTSS2,-1
COA4,172
POU2F2,-1
BRMS1,-1
PGLS,511
DUSP1,192
PRKCB,-1
POU2AF1,-1
PABPC1L2B,415
RAC3,-1
IRF3,-1
SUMO1,-1
OVCA2,-1
NANOS1,-1
GAMT,-1
TBK1,-1
ZBTB48,-1
BRPF3,-1
BARHL1,-1
SPTLC1,393
DNASE1L1,-1
RRP8,530
HDAC5,-1
TRAP1,-1
HIF3A,-1
P2RX2,-1
ZC3H12B,-1
ANKRD11,-1
C11orf96,286
IPO8,176
SPR,-1
ARPC1B,179
NRP2,-1
TRIM11,562
ARMT1,161
ATG4B,100
POU5F1B,617
HMX2,359
RBP2,423
REEP4,507
BTBD6,614
GZF1,203
SHROOM1,-1
CCAR1,-1
TEAD1,574
PEX6,-1
PHF14,500
CITED1,-1
MYRF,61
SLC44A2,179
ANKRD9,-1
ZNF765,493
CBFB,218
SNX7,398
LDB2,-1
EVI5L,248
HDHD2,240
PBXIP1,-1
LPXN,423
TTC14,194
CD276,-1
ZNF536,-1
HSBP1,-1
H4C16,602
DYNLT1,-1
RUSF1,499
DLX5,318
ATIC,217
NXPH3,78
TRIM2,61
FAM193B,-1
ARID1B,-1
RAB13,553
PXMP4,-1
PHGDH,-1
DCP1A,-1
UPP1,-1
ZNF334,-1
SIGIRR,-1
GSTK1,-1
LAPTM4A,267
DAZAP1,-1
SPIN2B,297
JMJD8,-1
ZNF91,-1
RCOR1,295
CSNK1G2,325
ITGB3BP,-1
SCAPER,-1
ZNF696,-1
KLK6,265
INF2,-1
ZKSCAN4,-1
RAB35,292
BCL2L12,42
UBXN7,141
ZBTB39,-1
SLC25A11,504
ZNF136,470
ZNF573,400
MAFF,627
C5orf15,-1
BRD7,-1
SRA1,571
TIGD2,471
HMG20B,-1
MST1R,-1
NAB1,-1
JAK2,-1
CIT,-1
SULT2A1,-1
TLX3,483
FAM86B2,-1
ZSCAN21,257
LAMC1,558
CDK4,145
METTL14,582
AP1S2,217
TRIM52,254
ZNF530,185
BBX,-1
MAGEL2,-1
RPRML,-1
GNG11,-1
TYK2,600
NEUROD1,505
FAM83G,-1
CYB561D1,-1
FAM136A,-1
ABCB10,398
AGAP3,450
LMTK2,173
SAPCD2,-1
NLRP3,452
SAMD10,173
PLEKHG5,-1
CDR2L,73
WFS1,-1
ZNF211,-1
HMGN5,613
WRNIP1,277
TTLL13,-1
PEF1,-1
SH2B3,582
TMEM268,33
OVOL1,418
BLVRA,-1
UBC,145
ZNF8,529
SHISA4,-1
ACVR2A,-1
SPOP,282
ZNF713,-1
SATB1,-1
TXNDC16,133
MATK,-1
TRAPPC12,-1
SREBF1,32
COL4A2,411
BRSK2,115
CARNS1,-1
DOT1L,-1
HINT2,571
STAT5B,502
GGCT,-1
RBPJ,-1
ZNF174,164
HMGN3,-1
PEX11A,350
PIF1,571
TCF25,392
KCTD15,-1
MROH1,428
IRX2,-1
ARNT,545
LPGAT1,169
ZNF726,-1
EBF4,-1
MTF2,-1
CTNNB1,359
BPTF,-1
PKNOX2,-1
SNX3,-1
RASSF10,451
FOXD3,-1
HDGFL1,-1
COX6B1,-1
FOXD4L5,210
AP2B1,-1
ZNF813,-1
ERAL1,-1
NDUFV1,336
SIX1,476
KATNB1,-1
CTBP1,-1
NUPR2,-1
HAND2,416
WDR37,-1
SETD5,615
CLPSL2,-1
MZF1,187
DACH1,470
NTMT1,-1
ZNF235,-1
RPE,378
ZNF445,-1
DSP,-1
CCNYL1,-1
F2RL1,116
SEMA4A,321
MRGPRF,236
DUSP6,619
RCCD1,-1
CKAP2,-1
ETS2,570
NKX1-1,-1
ASMTL,-1
EFNA3,-1
METTL7B,-1
PROX2,371
NCOA4,-1
H2BC14,481
ZNF630,470
SND1,-1
ZNF527,527
FOXB1,-1
PRDM1,551
IFT25,-1
ST6GALNAC4,629
NOM1,411
CRELD2,178
NDUFS7,286
PRMT8,473
RAB1B,-1
PHF21B,-1
NFIC,-1
CCDC69,275
BARX2,-1
ARHGAP11A,605
C11orf87,-1
C21orf91,-1
LBR,-1
TRIM16,-1
H1-6,13
KYAT3,534
ZNF322,360
C6orf120,-1
CHST6,567
OAZ1,396
TWIST1,-1
ZNF213,-1
TRMU,380
RPH3A,-1
ZNF420,243
TBC1D16,278
ZXDA,-1
EFNA4,-1
JAGN1,619
SRM,-1
SPRED2,-1
ACTB,-1
ARL6IP1,-1
FOXI1,284
NRBP2,-1
C1RL,301
CAMKMT,-1
CDCA7,494
WASHC2A,-1
RPUSD1,540
UPK3B,581
CCER2,-1
PYM1,-1
CASKIN2,224
ZNF597,593
DMTF1,-1
LTA4H,-1
MYF6,-1
PARP15,169
SHPK,278
ZNF461,-1
GLIS2,146
LGALSL,-1
MXD3,-1
P3H4,456
GPT2,551
HLTF,-1
PANX2,-1
STAT1,-1
METTL1,307
USP21,-1
FAM83F,-1
PCIF1,476
IP6K1,365
RHBDD3,-1
TCF21,68
PAFAH1B1,-1
CHD2,-1
ZNF660,-1
TMEM63B,-1
TPBG,-1
TFEB,-1
ZNF34,-1
PBRM1,93
CLDN4,507
INCA1,45
INAFM2,167
MED12L,-1
NIBAN2,-1
CD68,501
TMCO6,300
TOX3,-1
CTTN,-1
MED24,-1
TOX4,-1
PRDM6,275
BST2,94
HYAL1,-1
METTL9,-1
ATXN1,408
NHLRC4,-1
HNRNPF,-1
PCDHB14,121
ZNF264,-1
ASXL3,-1
KMT2D,-1
SOX8,-1
ERGIC3,-1
YY2,431
VASN,199
TDRKH,-1
SNX8,-1
AGO3,-1
EXOG,630
ZNF81,233
MALSU1,-1
ACSL1,-1
ANKZF1,-1
CLDN1,309
ZNF277,-1
ZNF331,-1
PRRT2,322
TSPYL2,-1
USP20,393
H2AC8,-1
RFX6,-1
ACSS3,-1
VKORC1L1,603
MTHFD1,303
MAN2B1,-1
TLCD3A,334
GAS6,458
ALKBH3,207
FBLIM1,-1
DNAJC18,-1
CYBA,429
ONECUT2,-1
IGF1R,-1
DPYSL4,-1
LEFTY2,22
SNX30,453
CHD9,303
DLC1,424
MAGI1,-1
CCDC97,495
TACSTD2,-1
PTGR2,-1
SFRP5,-1
TM2D3,-1
AGFG1,473
ZNF438,243
ZSWIM3,565
PCCA,-1
ALKBH2,263
TTLL3,243
N4BP3,-1
SHC1,182
ANP32D,-1
UBE3B,-1
RCOR3,164
VOPP1,-1
PPM1N,-1
NCOA2,443
MT-CO3,490
HMGA2,-1
MALL,-1
NRDC,-1
PDE7A,518
RASGEF1A,-1
RFXANK,-1
WDR83OS,338
HECTD1,297
SPG11,-1
ZNF614,-1
NAT9,604
SNTA1,-1
SNX18,329
PJVK,31
IRF5,635
MRFAP1,193
GJB5,36
H2AC11,-1
MEX3A,-1
RIPPLY3,-1
FNDC10,-1
MIXL1,-1
LAMP2,-1
IKZF4,-1
ASB1,-1
RBM15B,-1
PITX2,-1
TRIM65,185
NKX6-3,630
ZFP91,-1
C12orf57,344
TBC1D10B,168
ZNF346,481
DDB2,-1
BSPRY,7
CDON,-1
MCTS2,605
GLMP,-1
PSMC3IP,166
SEC14L2,626
SEZ6L2,375
SLC25A36,479
GDAP1,446
FOXJ2,509
L3MBTL1,496
ZNF682,-1
FOXK2,-1
CBR1,296
RMDN1,-1
ZNF10,414
TDRD12,-1
PARP12,155
ZNF132,-1
LEMD2,-1
LATS1,468
ST18,634
RBM5,354
SRD5A1,115
PRKCD,45
ZNF565,-1
OLIG3,162
PLCXD1,303
RFX5,-1
PAGR1,567
NDN,510
ARHGEF35,13
DLX1,335
DDX3Y,-1
STK24,591
FXR2,-1
ITM2B,-1
HOXD9,504
ZNF471,459
ZSCAN12,-1
APOBEC2,-1
COQ5,343
PAK2,-1
SOX1,-1
TOMM6,526
CYP51A1,-1
ZFAND2A,-1
ZNF441,-1
CD59,221
ZNF418,-1
TADA1,-1
EXD3,560
POU2F3,602
SFXN1,-1
PINLYP,-1
PLEK,171
CYP2A13,-1
ZNF608,-1
