,cluster_id
EFNA2,-1
JTB,-1
ROR1,500
GNAI2,434
ARID5A,-1
GPBP1L1,508
BCKDK,-1
SUPT20H,-1
CDR2,240
ARL6IP4,-1
MGRN1,-1
BCL7B,446
GPR137,77
ALG12,600
WWC1,-1
TSHZ1,-1
GALK1,-1
AKAP1,102
POTEI,-1
GPR160,365
RRM1,407
SCRN2,628
SHFL,-1
CDIP1,-1
PCDH1,267
CCDC88B,245
TAB2,442
HSPB1,-1
EPHA1,586
TUNAR,564
MTRES1,-1
PLD4,508
TBX15,545
FTH1,335
NACC2,-1
C8orf82,151
BARX1,-1
YPEL3,-1
VSIG10,-1
SIGLEC10,-1
CLDN12,87
MADD,503
HTR3A,-1
ZNF697,-1
PRDM12,-1
ZFP14,562
ZFP62,-1
FAM193A,-1
ADAMTS7,-1
DOLPP1,582
RAB12,637
MYOCD,-1
HNRNPA3,-1
MGAT3,-1
DDX50,-1
ADM2,-1
SH2B1,261
BABAM2,471
PAWR,-1
SCARB1,-1
PTK7,-1
HES6,-1
HLCS,-1
ZFYVE27,139
DDIT4,-1
SAV1,534
PCYOX1,-1
FAM210B,-1
FZD7,157
TCAF1,-1
PLBD2,-1
REV1,-1
PDPR,78
CPOX,483
SPARC,454
SAMD14,-1
BASP1,469
DDX60L,-1
JDP2,-1
GIPC1,536
TENT4A,375
SPRED3,-1
CERS4,-1
DMPK,-1
IGF2R,53
LACTB,540
BAG1,418
C14orf132,589
TMEM132A,171
GOLGA5,-1
ZNF7,364
SYT6,497
MARVELD3,-1
TMEM184B,386
NPIPA1,531
CRTC2,-1
CHGA,335
UBE2D3,-1
CITED2,-1
DMAC2,229
NCKIPSD,-1
SEMA7A,-1
CUEDC2,-1
BMT2,4
ARL4D,107
TMEM145,600
TUG1,375
CAMLG,545
ABHD8,-1
ADAM10,483
TXNDC12,440
PCBP4,-1
HIC1,-1
PKDCC,-1
MAP3K11,-1
SEC61A2,595
SP4,-1
ATP13A3,299
HMGN2,-1
RBM15,70
CEMP1,254
QTRT2,628
PRKAB2,-1
CNOT11,597
SENP5,-1
ZNF596,477
IVD,-1
SPRING1,-1
PDP2,309
PLOD1,425
OGG1,362
ASCC2,-1
POLG,-1
SAMD8,362
CTDSPL,155
LY6E,309
FOXJ1,445
GGH,502
LRIF1,564
CILP2,-1
FOXQ1,-1
C11orf58,-1
ZNF383,-1
TMEM50A,-1
SGPL1,-1
BATF2,-1
FBXL6,-1
QKI,83
SBF1,-1
TRAM1,547
SLC7A5,-1
FOXF2,-1
PAIP1,-1
CTSL,-1
GALNT2,231
ZNF426,99
BEND3,-1
DEDD,578
LRIG1,497
NOMO1,366
DEXI,601
MPST,527
DENND4B,-1
KIAA1549,-1
SIRT4,-1
NMI,-1
FAM234A,600
TMUB1,-1
ACOT8,598
MYADM,-1
PNPLA6,481
SLC7A1,168
C17orf80,481
DLGAP3,292
TSPAN4,633
STK35,-1
LIMK1,-1
ATAD3A,-1
UBE2L6,-1
OLFML3,-1
GLYATL1,-1
EML3,466
CTAGE15,571
KLHDC7A,427
EYA3,-1
BTBD10,-1
FLYWCH2,-1
PRDX6,-1
SOCS1,619
H3-4,-1
ARHGAP1,531
NKX2-4,-1
GSK3A,629
KCMF1,-1
EXO5,-1
RAB6C,-1
APH1A,-1
CDK2AP2,278
DNAL4,-1
GID8,474
DAP,-1
FCHSD1,330
ZNF664,-1
SLC35B3,575
SNCG,-1
GMEB1,-1
FADS2,-1
FOXL2NB,324
SRRD,-1
NCKAP5L,217
ENKD1,313
C1GALT1,-1
GAREM2,-1
ZNF276,4
FBXL16,-1
HTR7,347
HHEX,-1
CDH3,139
ZDHHC20,-1
TEAD4,508
BAX,235
MTCH1,-1
SPRY1,-1
CRELD1,-1
TVP23B,322
MTHFR,353
SERINC2,335
PANK3,380
MEIOB,-1
IKBKE,562
IER5L,-1
FAM20C,484
H1-8,293
COA7,575
ZSCAN2,275
CENPVL1,245
NR2E3,-1
UBFD1,325
PHACTR2,-1
ZNF324B,-1
SPATA20,-1
RIOX2,-1
FOXP4,380
XPO6,-1
C1orf35,186
SPATA24,-1
NUDT22,70
NABP1,-1
TEF,608
ACTC1,427
FKBP2,141
SH3BP1,-1
ZNF542P,414
GNPNAT1,-1
UCK2,-1
JADE3,-1
DDX4,-1
CECR2,-1
CHRNA5,179
MOSPD1,531
ITGA7,445
SOCS3,-1
IDS,347
GSX2,-1
KLF12,-1
QTRT1,-1
EOMES,-1
ARVCF,299
KDM4B,-1
CEP104,454
FOXH1,404
NAXD,-1
ARSA,90
KIF5A,-1
SLC25A46,-1
NAA35,186
LRFN3,214
ELK1,-1
PAQR3,36
KCTD3,-1
TTLL1,418
ZNF510,-1
RRBP1,-1
ZNF587,-1
CLDN9,-1
TUBB4B,-1
BEX5,434
LCTL,551
EEF2KMT,-1
HRH3,22
TNFRSF18,-1
CNOT2,-1
ATP11A,-1
CYB5A,-1
AGMAT,107
GLTP,292
ZNF850,-1
RNF144A,585
POFUT2,-1
COL9A3,340
CUL7,-1
HHIPL1,-1
MAVS,-1
SPHK1,-1
CDX1,-1
MLXIPL,-1
RNPEPL1,-1
ZFP1,400
CLTA,582
SFMBT1,530
C1orf174,150
PAQR4,-1
ADRA2C,-1
ZFP30,-1
CHML,145
NIF3L1,-1
HPDL,577
SDHAF1,420
MEA1,-1
NOVA2,-1
KLHDC10,554
NEUROG1,-1
LIFR,-1
LIPT1,-1
GOLM2,-1
PUSL1,-1
BEX1,-1
YWHAB,504
WDR91,444
ZNF2,-1
GALNS,430
DCK,385
TRAM1L1,-1
ZNF77,-1
LASP1,-1
CTPS1,-1
FBXW2,573
PXDN,-1
MAPK13,-1
LRP3,4
GAL,312
MBD4,307
BICD2,-1
ZNF551,-1
BET1L,488
INPP5J,236
C6orf47,584
ZNF146,397
ISYNA1,76
IFFO2,629
LGMN,-1
INA,633
NPEPPS,-1
NFKBIA,-1
GBA2,-1
LPCAT1,547
METTL24,588
POLR2H,490
SYCP2,-1
TIGD3,-1
CABIN1,-1
NR3C2,602
DMBX1,-1
CHUK,-1
TNFRSF25,-1
GLRX5,299
ELP5,-1
ZNF554,-1
METTL18,-1
ZNF746,-1
UBE2E1,-1
RHBDL1,451
TUSC1,122
TATDN2,510
COMTD1,372
AKAP9,318
MLLT1,-1
GSR,458
KIAA0232,411
ANKRD13D,500
UNC93B1,235
NKX2-6,-1
ZNF662,531
CCZ1,440
CPXM1,-1
ENAH,77
ZNF487,604
MIA3,-1
TNP2,-1
PHETA1,-1
H2BW2,589
ZNF469,-1
SEPTIN3,-1
ARL1,502
TMEM35B,581
DGCR2,172
SEC23A,634
FBLN2,-1
MCCC2,523
HCFC1R1,-1
HILPDA,589
SEMA4C,-1
SLC27A4,-1
OPLAH,-1
ZNF419,92
PPP1R16A,-1
ZNF684,32
ENTPD4,451
VGF,412
FRAT2,181
ZNF354B,-1
FKRP,498
C6orf132,351
SLC36A4,-1
CKB,154
SURF4,554
DDR1,-1
HS2ST1,-1
ADCYAP1R1,-1
NDUFB9,450
RHBDF2,278
STRN,-1
UNG,207
CLDN6,-1
SCAMP1,-1
FKBP4,-1
ETV2,166
ANKRD50,-1
AKR1A1,-1
TAF6L,-1
CEP78,304
FIGLA,380
CACNG7,169
FOXD2,-1
ADAM15,-1
C1orf159,-1
KCNE3,100
AKAP17A,396
NR0B1,246
CDK2AP1,-1
GPRC5B,222
HOXA9,504
CTNS,604
SLC29A1,630
OTUD1,29
TXLNA,217
HOXC8,13
PEX5,-1
AMOTL2,-1
PTBP3,-1
ARC,63
ZNF701,-1
GRINA,296
POU2AF2,-1
RRP1B,-1
GNMT,-1
ZNF44,-1
CSK,-1
NFE2L2,-1
EHMT1,635
SLF1,-1
MAFG,-1
RNF26,378
EPHB6,591
PIWIL2,434
ST6GALNAC6,-1
KIF7,-1
MFSD9,-1
ZNF556,-1
ZHX3,596
SLC26A2,194
CCDC85C,339
ZNF728,-1
MCHR1,-1
SMYD2,600
POU2AF3,434
XPNPEP1,111
TEAD2,-1
TP53I11,88
PLEKHG6,-1
MXD4,-1
ROGDI,520
ENO1,500
THRA,-1
TMEM216,632
SETDB2,318
PPFIA3,-1
ZNF273,349
CCNB3,-1
CHMP1A,-1
IFFO1,-1
HPS6,221
TRMT10B,-1
OAZ2,-1
ABTB1,-1
CNN2,524
ZMYND19,478
YIF1A,388
RMI2,578
PPP4R3B,210
NAT14,302
STRBP,-1
RCAN3,-1
SEC11A,-1
MARK2,562
TNKS2,272
PIMREG,586
MRPS24,18
ZNF286A,541
PAN3,-1
FLYWCH1,-1
ZNF777,-1
SGSM3,-1
KLHL25,582
NPB,-1
WNK2,-1
RFX2,279
ZNF829,-1
HSFX2,-1
PLEC,-1
STK25,-1
GDF11,482
TRA2A,75
CHDH,-1
GBX1,499
ATP1A3,-1
LYSMD4,-1
SRRM3,406
CLIC1,579
WT1,-1
MPZL3,383
SMPD2,299
PIAS3,295
MAZ,-1
PLXND1,-1
RPS6KA3,588
ERBB2,627
IRF9,209
SMCHD1,-1
PTPN12,278
FZD9,-1
TULP3,-1
MYPOP,-1
KLF5,-1
MICALL1,107
SOX9,-1
NET1,-1
ETV3L,-1
SCARF1,472
JUP,471
ATF1,605
THAP4,545
NUDT12,-1
LRRC59,-1
HDAC11,-1
LUZP1,365
AHR,-1
NEIL3,-1
CREB3,153
GATA4,-1
CDK6,-1
ARID3A,376
NF1,-1
LDLRAP1,-1
TREX1,-1
FUT10,376
NECTIN1,477
ZNF280B,279
ZNF582,-1
SCX,-1
ELF4,-1
ZNF106,619
EMSY,-1
SH3BP2,-1
MYCN,-1
ACAA2,-1
VCPKMT,-1
CITED4,446
ZNF287,-1
UBE2M,-1
IFITM2,-1
NANOGNB,212
ZNF618,-1
AGXT,-1
EMB,399
SARAF,-1
PLPPR2,-1
CDYL,432
EARS2,-1
DEAF1,-1
AGTRAP,-1
ICAM4,-1
SCPEP1,154
PEMT,-1
NEU1,292
ZNF683,471
YWHAZ,279
TMEM160,-1
MTA1,-1
