rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
274,Signaling By GPCR R-HSA-372790,0.13797672383797832,3.3040500042811884,6.544233633539558,"PPP2CB, NRAS",0.15157297034756012,0,0,Reactome_2022
275,Transport To Golgi And Subsequent Modification R-HSA-948021,0.14487924920692025,6.754601226993865,13.048907773001488,ARF4,0.1585769236773927,0,0,Reactome_2022
276,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,0.14733425989803825,6.631526104417671,12.699713328461943,MAGOHB,0.16067975445401997,0,0,Reactome_2022
277,Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,0.158702951903336,6.11141975308642,11.249418991600143,ARF4,0.17208729067186893,0,0,Reactome_2022
278,Cellular Response To Chemical Stress R-HSA-9711123,0.15950948205133364,6.077348066298343,11.15589558518887,BTRC,0.17208729067186893,0,0,Reactome_2022
279,Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,0.15950948205133364,6.077348066298343,11.15589558518887,NRAS,0.17208729067186893,0,0,Reactome_2022
280,Cilium Assembly R-HSA-5617833,0.1627282835274311,5.944744744744745,10.793715148601839,ARF4,0.17493290479198842,0,0,Reactome_2022
281,ESR-mediated Signaling R-HSA-8939211,0.16433330155550302,5.880570409982175,10.619478571217373,NRAS,0.17602962195091248,0,0,Reactome_2022
282,Signaling By ROBO Receptors R-HSA-376176,0.18101094375387772,5.28125,9.02670081161937,MAGOHB,0.19320671655999003,0,0,Reactome_2022
283,G Alpha (Q) Signaling Events R-HSA-416476,0.18336756358478967,5.205371248025276,8.829676548346452,NRAS,0.19503051815908726,0,0,Reactome_2022
284,HIV Infection R-HSA-162906,0.19660086312138042,4.813109161793372,7.828905565189538,BTRC,0.2083692246462518,0,0,Reactome_2022
285,Neddylation R-HSA-8951664,0.20275776084297892,4.648069679849341,7.417126090573529,BTRC,0.21414065267977772,0,0,Reactome_2022
286,Chromatin Modifying Enzymes R-HSA-3247509,0.20352422248263075,4.628223159868729,7.367993589129905,CHD3,0.21419856981563587,0,0,Reactome_2022
287,Transmission Across Chemical Synapses R-HSA-112315,0.20963083355998194,4.475283446712018,6.992215216463321,NRAS,0.21985672787998106,0,0,Reactome_2022
288,Signaling By Nuclear Receptors R-HSA-9006931,0.22021081288910196,4.23037323037323,6.4012736539017965,NRAS,0.23015088430423503,0,0,Reactome_2022
289,Infectious Disease R-HSA-5663205,0.23135823121803756,2.333558240814574,3.4158345156483194,"CHD3, BTRC",0.2401747024696141,0,0,Reactome_2022
290,Organelle Biogenesis And Maintenance R-HSA-1852241,0.23139755387437902,3.9957420924574207,5.848240190776614,ARF4,0.2401747024696141,0,0,Reactome_2022
291,Asparagine N-linked Glycosylation R-HSA-446203,0.2365658436406588,3.8948200869909053,5.614494941291066,ARF4,0.24469525407504572,0,0,Reactome_2022
292,Metabolism Of Carbohydrates R-HSA-71387,0.23877073107748273,3.8530907668231613,5.518594921194316,PPP2CB,0.24613010292576132,0,0,Reactome_2022
293,Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,0.2547565441988146,3.572076978939724,4.884625657494055,BTRC,0.2617123542793283,0,0,Reactome_2022
294,G Alpha (I) Signaling Events R-HSA-418594,0.25834506340326924,3.513754912468739,4.755723676017977,PPP2CB,0.2644961363414423,0,0,Reactome_2022
295,Developmental Biology R-HSA-1266738,0.2714598792642609,2.0772230460811776,2.708576139882492,"NRAS, MAGOHB",0.2769810971476018,0,0,Reactome_2022
296,SARS-CoV Infections R-HSA-9679506,0.298113979638772,2.960899758454106,3.5835159345485037,CHD3,0.3031496887542918,0,0,Reactome_2022
297,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,0.3042055181572743,2.888888888888889,3.437927304998263,BTRC,0.3083025621728605,0,0,Reactome_2022
298,Neuronal System R-HSA-112316,0.3095781411207712,2.827705627705628,3.3156113695758695,NRAS,0.31269469958842994,0,0,Reactome_2022
299,Cellular Responses To Stress R-HSA-2262752,0.5028710467327873,1.4840499306518724,1.020167844355191,BTRC,0.5062347326641102,0,0,Reactome_2022
300,Cellular Responses To Stimuli R-HSA-8953897,0.5096889859735041,1.454724111866969,0.9804179643163642,BTRC,0.5113879492600825,0,0,Reactome_2022
301,Metabolism R-HSA-1430728,0.8718571358603848,0.4864637586805556,0.06670863100015309,PPP2CB,0.8718571358603848,0,0,Reactome_2022
