rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
76,Regulation Of Smoothened Signaling Pathway (GO:0008589),0.04737458019912608,22.145555555555557,67.53662482568532,BTRC,0.0929113704144484,0,0,GO_Biological_Process_2023
77,Receptor Internalization (GO:0031623),0.04737458019912608,22.145555555555557,67.53662482568532,RAB31,0.0929113704144484,0,0,GO_Biological_Process_2023
78,Regulated Exocytosis (GO:0045055),0.04737458019912608,22.145555555555557,67.53662482568532,RAB31,0.0929113704144484,0,0,GO_Biological_Process_2023
79,Regulation Of Proteolysis (GO:0030162),0.048281885719464374,21.71023965141612,65.79719781355674,BTRC,0.0929113704144484,0,0,GO_Biological_Process_2023
80,Actin Polymerization Or Depolymerization (GO:0008154),0.04918837257235504,21.291666666666668,64.13258686532767,DSTN,0.0929113704144484,0,0,GO_Biological_Process_2023
81,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",0.04918837257235504,21.291666666666668,64.13258686532767,DDX17,0.0929113704144484,0,0,GO_Biological_Process_2023
82,Mesenchymal Cell Differentiation (GO:0048762),0.05009404144634451,20.88888888888889,62.538267077796924,DDX17,0.09346815050354525,0,0,GO_Biological_Process_2023
83,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),0.051902928041441816,20.12727272727273,59.54412256861738,ARF4,0.09567648181133251,0,0,GO_Biological_Process_2023
84,Positive Regulation Of Protein Binding (GO:0032092),0.05461014047974239,19.083333333333332,55.485472758532836,PPP2CB,0.09603852291265041,0,0,GO_Biological_Process_2023
85,Cilium Movement (GO:0003341),0.05461014047974239,19.083333333333332,55.485472758532836,DNAH9,0.09603852291265041,0,0,GO_Biological_Process_2023
86,Positive Regulation Of Proteolysis (GO:0045862),0.05461014047974239,19.083333333333332,55.485472758532836,BTRC,0.09603852291265041,0,0,GO_Biological_Process_2023
87,Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),0.05461014047974239,19.083333333333332,55.485472758532836,PPP2CB,0.09603852291265041,0,0,GO_Biological_Process_2023
88,Positive Regulation Of Phagocytosis (GO:0050766),0.0555109160756712,18.75894538606403,54.2354050228785,RAB31,0.09651329726792833,0,0,GO_Biological_Process_2023
89,Response To Metal Ion (GO:0010038),0.05910589424922246,17.56437389770723,49.67950767349094,PPP2CB,0.10160900921495547,0,0,GO_Biological_Process_2023
90,Regulation Of Translational Initiation (GO:0006446),0.0600026111891116,17.2890625,48.64048131974362,EIF1B,0.10200443902148972,0,0,GO_Biological_Process_2023
91,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),0.06871852436646578,5.060119201865768,13.549665753000248,"CHD3, BTRC",0.11553773876999192,0,0,GO_Biological_Process_2023
92,Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),0.07070025813490022,14.550438596491228,38.54856507595181,NRAS,0.1175776032026058,0,0,GO_Biological_Process_2023
93,Response To Insulin (GO:0032868),0.0724719475151733,14.175925925925926,37.20550751521447,RAB31,0.11922804268625285,0,0,GO_Biological_Process_2023
94,Histone Modification (GO:0016570),0.07424043671117812,13.82013888888889,35.938529151001916,CHD3,0.11956617701905528,0,0,GO_Biological_Process_2023
95,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),0.07424043671117812,13.82013888888889,35.938529151001916,PPP2CB,0.11956617701905528,0,0,GO_Biological_Process_2023
96,Nuclear-Transcribed mRNA Catabolic Process (GO:0000956),0.07776783634529352,13.159391534391535,33.609445860060674,MAGOHB,0.12394248917531155,0,0,GO_Biological_Process_2023
97,Exocytosis (GO:0006887),0.07864769465120389,13.003921568627451,33.06607217254294,RAB31,0.12405254929519788,0,0,GO_Biological_Process_2023
98,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034),0.08040502610852071,12.703703703703704,32.021953951870294,NDEL1,0.12553029586330275,0,0,GO_Biological_Process_2023
99,Cellular Response To Peptide Hormone Stimulus (GO:0071375),0.081282500607778,12.558712121212121,31.520163750462697,RAB31,0.12561841003020235,0,0,GO_Biological_Process_2023
100,Regulation Of RNA Metabolic Process (GO:0051252),0.08303507054574952,12.278395061728395,30.554690631035886,HNRNPF,0.12704365793499675,0,0,GO_Biological_Process_2023
101,Regulation Of Endothelial Cell Proliferation (GO:0001936),0.08478447291772329,12.010265700483092,29.63704634647099,NRAS,0.12843588471694717,0,0,GO_Biological_Process_2023
102,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",0.0856579879469774,11.8805256869773,29.195118234670645,DDX17,0.1284869819204661,0,0,GO_Biological_Process_2023
103,Regulation Of Gene Expression (GO:0010468),0.08821965278085361,3.1456294483985765,7.63735401468851,"PPP2CB, HNRNPF, CHD3",0.12989577040346398,0,0,GO_Biological_Process_2023
104,MAPK Cascade (GO:0000165),0.08914415615924,11.38831615120275,27.531259847052414,NRAS,0.12989577040346398,0,0,GO_Biological_Process_2023
105,RNA Splicing (GO:0008380),0.08914415615924,11.38831615120275,27.531259847052414,MAGOHB,0.12989577040346398,0,0,GO_Biological_Process_2023
106,Cellular Response To Insulin Stimulus (GO:0032869),0.09001372859328408,11.27154195011338,27.139540712465095,RAB31,0.1299254761770987,0,0,GO_Biological_Process_2023
107,Hemopoiesis (GO:0030097),0.09175051464357865,11.045,26.38299470978668,KLF3,0.1311946611258648,0,0,GO_Biological_Process_2023
108,Regulation Of RNA Splicing (GO:0043484),0.09261772960228992,10.935093509350935,26.017591233462856,HNRNPF,0.13120845026991074,0,0,GO_Biological_Process_2023
109,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),0.0969701571196319,4.117859035506094,9.608414642471084,"CHD3, BTRC",0.13611407375507964,0,0,GO_Biological_Process_2023
110,Regulation Of Wnt Signaling Pathway (GO:0030111),0.09866630616038638,10.222736625514404,23.675978316785635,BTRC,0.13723586220490105,0,0,GO_Biological_Process_2023
111,Small GTPase Mediated Signal Transduction (GO:0007264),0.10124684279753365,9.944944944944945,22.7758508139741,NRAS,0.13955645899119504,0,0,GO_Biological_Process_2023
112,Regulation Of DNA-templated Transcription (GO:0006355),0.10277965614444318,2.5113660062565173,5.713779179370227,"DDX17, CHD3, BTRC, KLF3",0.1404043516973197,0,0,GO_Biological_Process_2023
113,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),0.10382037915026997,9.6817738791423,21.93011820824504,ARF4,0.14057095584063103,0,0,GO_Biological_Process_2023
114,Receptor-Mediated Endocytosis (GO:0006898),0.10979817462010398,9.118457300275482,20.14368774115404,RAB31,0.1470635546250032,0,0,GO_Biological_Process_2023
115,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),0.11064905538398992,9.043260473588342,19.907758995082986,NRAS,0.1470635546250032,0,0,GO_Biological_Process_2023
116,Protein Dephosphorylation (GO:0006470),0.11149916559804166,8.969286359530262,19.676265858335118,PPP2CB,0.1470635546250032,0,0,GO_Biological_Process_2023
117,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.11941195235333141,2.3658761528326746,5.0279031706420145,"DDX17, ARF4, CHD3, KLF3",0.15615409153897183,0,0,GO_Biological_Process_2023
118,Actin Filament Organization (GO:0007015),0.12834057064036772,7.707070707070707,15.823139012008209,DSTN,0.1650093051090442,0,0,GO_Biological_Process_2023
119,Ras Protein Signal Transduction (GO:0007265),0.12834057064036772,7.707070707070707,15.823139012008209,NRAS,0.1650093051090442,0,0,GO_Biological_Process_2023
